-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
CLRSKY_SFC_SW_DWN,2010,6.5,79.5,22.75,24.4,25.35,25.65,24.59,23.9,24.26,24.97,25.34,24.74,22.7,22.14,24.23
CLRSKY_SFC_SW_DWN,2010,6.5,80.5,23.04,24.85,25.96,26.17,25.14,24.44,24.83,25.39,25.64,25.14,23.28,22.56,24.71
CLRSKY_SFC_SW_DWN,2010,6.5,81.5,22.71,24.5,25.69,25.87,24.8,24.08,24.5,25.02,25.3,24.79,22.95,22.25,24.37
CLRSKY_SFC_SW_DWN,2010,7.5,79.5,22.37,24.18,25.37,25.73,24.79,24.15,24.48,25.06,25.29,24.47,22.39,21.71,24.16
CLRSKY_SFC_SW_DWN,2010,7.5,80.5,22.7,24.65,25.95,26.24,25.36,24.66,25.02,25.46,25.59,24.89,22.93,22.13,24.63
CLRSKY_SFC_SW_DWN,2010,7.5,81.5,22.48,24.38,25.64,26.03,25.1,24.43,24.84,25.31,25.44,24.7,22.73,21.9,24.41
CLRSKY_SFC_SW_DWN,2010,8.5,79.5,21.69,23.77,25.14,25.29,24.31,24.06,24.36,24.83,24.77,23.8,21.89,20.94,23.74
CLRSKY_SFC_SW_DWN,2010,8.5,80.5,22.09,23.98,25.32,25.89,24.8,24.26,24.67,24.99,24.98,24.11,22.34,21.3,24.06
CLRSKY_SFC_SW_DWN,2010,8.5,81.5,21.9,23.73,25.07,25.72,24.57,24.0,24.45,24.76,24.78,23.84,22.17,21.13,23.84
CLRSKY_SFC_SW_DWN,2010,9.5,79.5,21.4,23.57,25.09,25.39,24.45,24.27,24.56,24.94,24.69,23.52,21.55,20.57,23.67
CLRSKY_SFC_SW_DWN,2010,9.5,80.5,21.63,23.61,25.11,25.85,24.78,24.25,24.69,24.91,24.7,23.69,21.86,20.8,23.82
CLRSKY_SFC_SW_DWN,2010,9.5,81.5,21.69,23.65,25.07,25.85,24.85,24.33,24.7,24.92,24.74,23.75,21.94,20.85,23.86
CLRSKY_SFC_SW_DWN,2011,6.5,79.5,22.51,24.14,25.38,25.35,24.55,23.82,23.67,24.89,25.22,24.85,22.93,21.75,24.09
CLRSKY_SFC_SW_DWN,2011,6.5,80.5,23.21,24.6,25.89,25.9,25.14,24.38,24.1,25.36,25.61,25.0,23.25,22.09,24.54
CLRSKY_SFC_SW_DWN,2011,6.5,81.5,22.9,24.29,25.55,25.57,24.78,23.98,23.73,25.01,25.27,24.68,22.89,21.77,24.2
CLRSKY_SFC_SW_DWN,2011,7.5,79.5,22.15,23.92,25.31,25.37,24.81,24.07,23.96,25.01,25.15,24.57,22.64,21.32,24.03
CLRSKY_SFC_SW_DWN,2011,7.5,80.5,22.82,24.36,25.83,25.92,25.35,24.57,24.33,25.46,25.58,24.78,22.91,21.69,24.47
CLRSKY_SFC_SW_DWN,2011,7.5,81.5,22.56,24.1,25.56,25.76,25.12,24.35,24.1,25.27,25.4,24.58,22.7,21.43,24.24
CLRSKY_SFC_SW_DWN,2011,8.5,79.5,21.58,23.41,25.2,25.07,24.52,24.04,23.82,24.69,24.58,23.41,21.95,20.69,23.58
CLRSKY_SFC_SW_DWN,2011,8.5,80.5,22.1,23.92,25.6,25.46,24.89,24.25,24.0,24.97,24.84,23.63,22.32,21.04,23.92
CLRSKY_SFC_SW_DWN,2011,8.5,81.5,21.95,23.73,25.4,25.29,24.62,24.05,23.71,24.74,24.62,23.43,22.13,20.82,23.71
CLRSKY_SFC_SW_DWN,2011,9.5,79.5,21.32,23.21,25.18,25.12,24.57,24.22,24.02,24.77,24.51,23.16,21.63,20.36,23.51
CLRSKY_SFC_SW_DWN,2011,9.5,80.5,21.69,23.58,25.46,25.4,24.87,24.33,23.92,24.87,24.57,23.25,21.85,20.55,23.69
CLRSKY_SFC_SW_DWN,2011,9.5,81.5,21.75,23.62,25.49,25.45,25.01,24.31,23.95,24.85,24.64,23.37,21.91,20.61,23.75
CLRSKY_SFC_SW_DWN,2012,6.5,79.5,23.12,24.09,25.24,25.35,23.97,23.81,24.08,25.07,25.23,24.62,22.46,22.06,24.09
CLRSKY_SFC_SW_DWN,2012,6.5,80.5,23.37,24.52,25.94,26.0,24.51,24.27,24.66,25.53,25.64,25.11,22.98,22.32,24.57
CLRSKY_SFC_SW_DWN,2012,6.5,81.5,23.04,24.2,25.69,25.65,24.14,23.89,24.3,25.19,25.27,24.8,22.68,22.03,24.24
CLRSKY_SFC_SW_DWN,2012,7.5,79.5,22.76,23.87,25.21,25.39,24.11,24.08,24.31,25.16,25.19,24.37,22.22,21.65,24.03
