-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_UV_INDEX,2010,6.5,79.5,2.23,2.57,2.68,2.58,2.1,2.28,2.22,2.3,2.28,2.31,1.81,1.66,2.25
ALLSKY_SFC_UV_INDEX,2010,6.5,80.5,2.02,2.37,2.47,2.38,2.0,2.07,2.0,1.96,1.9,2.03,1.64,1.49,2.03
ALLSKY_SFC_UV_INDEX,2010,6.5,81.5,1.98,2.37,2.56,2.6,2.34,2.3,2.32,2.31,2.17,2.22,1.75,1.58,2.21
ALLSKY_SFC_UV_INDEX,2010,7.5,79.5,2.12,2.48,2.7,2.62,2.29,2.36,2.41,2.37,2.37,2.27,1.77,1.58,2.28
ALLSKY_SFC_UV_INDEX,2010,7.5,80.5,1.93,2.34,2.5,2.5,2.26,2.1,2.12,2.0,2.01,2.0,1.62,1.36,2.06
ALLSKY_SFC_UV_INDEX,2010,7.5,81.5,1.8,2.2,2.5,2.54,2.49,2.31,2.32,2.3,2.21,2.19,1.67,1.35,2.16
ALLSKY_SFC_UV_INDEX,2010,8.5,79.5,1.99,2.41,2.66,2.61,2.37,2.39,2.43,2.35,2.35,2.22,1.66,1.39,2.24
ALLSKY_SFC_UV_INDEX,2010,8.5,80.5,1.87,2.2,2.41,2.5,2.27,2.21,2.29,2.1,2.09,2.0,1.55,1.22,2.06
ALLSKY_SFC_UV_INDEX,2010,8.5,81.5,1.87,2.19,2.5,2.65,2.4,2.28,2.35,2.22,2.18,2.07,1.61,1.24,2.13
ALLSKY_SFC_UV_INDEX,2010,9.5,79.5,1.95,2.36,2.62,2.66,2.4,2.37,2.36,2.32,2.28,2.13,1.58,1.39,2.2
ALLSKY_SFC_UV_INDEX,2010,9.5,80.5,1.9,2.24,2.5,2.57,2.31,2.26,2.35,2.21,2.15,2.04,1.55,1.29,2.11
ALLSKY_SFC_UV_INDEX,2010,9.5,81.5,1.99,2.37,2.6,2.74,2.43,2.37,2.47,2.27,2.25,2.15,1.68,1.32,2.22
ALLSKY_SFC_UV_INDEX,2011,6.5,79.5,1.83,2.2,2.51,2.32,2.27,2.2,2.16,2.45,2.53,2.5,2.03,1.87,2.24
ALLSKY_SFC_UV_INDEX,2011,6.5,80.5,1.61,1.92,2.23,2.13,2.1,2.0,1.87,2.09,2.2,2.12,1.8,1.64,1.98
ALLSKY_SFC_UV_INDEX,2011,6.5,81.5,1.61,1.9,2.3,2.33,2.33,2.21,2.11,2.37,2.49,2.25,1.83,1.59,2.11
ALLSKY_SFC_UV_INDEX,2011,7.5,79.5,1.69,2.09,2.52,2.26,2.33,2.29,2.34,2.5,2.58,2.46,1.92,1.78,2.23
ALLSKY_SFC_UV_INDEX,2011,7.5,80.5,1.4,1.88,2.34,2.19,2.21,2.04,1.97,2.14,2.26,2.16,1.76,1.59,2.0
ALLSKY_SFC_UV_INDEX,2011,7.5,81.5,1.33,1.77,2.27,2.39,2.34,2.26,2.18,2.38,2.44,2.21,1.74,1.52,2.07
ALLSKY_SFC_UV_INDEX,2011,8.5,79.5,1.62,2.01,2.53,2.25,2.35,2.31,2.35,2.52,2.58,2.19,1.69,1.65,2.17
ALLSKY_SFC_UV_INDEX,2011,8.5,80.5,1.4,1.8,2.35,2.19,2.26,2.14,2.15,2.29,2.33,1.95,1.62,1.54,2.0
