-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2010,10.0,78.75,24.73,26.64,30.13,31.82,31.31,29.92,29.38,29.49,28.61,27.43,25.54,23.99,28.25
T2M,2010,10.0,79.375,25.3,26.37,29.19,30.8,31.02,29.99,29.66,29.34,28.56,27.95,26.75,25.35,28.36
T2M,2010,10.0,80.0,26.1,26.49,28.72,30.3,30.42,29.48,29.21,28.9,28.33,28.2,27.24,26.21,28.3
T2M,2010,10.0,80.625,26.38,26.53,28.4,29.95,30.23,29.37,29.02,28.77,28.29,28.28,27.32,26.6,28.26
T2M,2010,10.0,81.25,26.54,26.58,28.2,29.65,30.2,29.48,29.03,28.77,28.29,28.36,27.41,26.85,28.28
T2M,2010,10.0,81.875,26.65,26.59,28.1,29.52,30.18,29.48,29.0,28.72,28.23,28.35,27.45,26.96,28.27
T2M,2010,6.0,78.75,27.28,27.67,28.49,29.08,29.08,28.33,27.5,27.13,27.46,27.5,27.23,26.94,27.81
T2M,2010,6.0,79.375,27.3,27.8,28.54,29.02,29.08,28.24,27.45,27.11,27.37,27.52,27.26,26.93,27.8
T2M,2010,6.0,80.0,26.82,27.44,28.1,28.52,28.55,27.7,27.02,26.82,26.9,27.05,26.76,26.41,27.34
T2M,2010,6.0,80.625,26.23,26.81,27.83,28.03,28.03,27.17,26.63,26.62,26.58,26.65,26.34,25.84,26.9
T2M,2010,6.0,81.25,26.37,26.87,27.9,28.4,28.4,27.51,27.06,27.11,26.98,27.14,26.81,26.05,27.22
T2M,2010,6.0,81.875,27.17,27.73,28.36,28.9,29.05,28.22,27.75,27.78,27.51,27.87,27.26,26.58,27.85
T2M,2010,6.5,78.75,27.17,27.55,28.53,29.08,29.09,28.3,27.32,26.79,27.25,27.38,27.19,26.95,27.72
T2M,2010,6.5,79.375,27.15,27.73,28.63,29.01,29.05,28.21,27.27,26.76,27.16,27.38,27.19,26.93,27.71
T2M,2010,6.5,80.0,25.84,26.66,27.47,27.79,27.7,26.9,26.13,25.91,26.02,26.08,25.84,25.54,26.49
T2M,2010,6.5,80.625,23.72,24.42,25.71,25.85,25.72,24.92,24.35,24.42,24.36,24.21,23.88,23.42,24.58
T2M,2010,6.5,81.25,24.4,24.8,26.26,26.95,26.89,26.06,25.6,25.91,25.85,25.63,25.14,24.33,25.65
T2M,2010,6.5,81.875,26.55,27.16,28.19,28.61,28.72,27.99,27.58,27.77,27.45,27.65,26.85,26.12,27.55
T2M,2010,7.0,78.75,27.07,27.46,28.56,29.12,29.13,28.18,27.13,26.4,27.0,27.28,27.15,26.96,27.62
T2M,2010,7.0,79.375,26.95,27.65,28.81,29.05,29.03,28.08,27.11,26.44,26.94,27.2,27.12,26.84,27.6
T2M,2010,7.0,80.0,25.17,26.24,27.61,27.76,27.42,26.57,25.82,25.5,25.66,25.67,25.54,25.04,26.17
T2M,2010,7.0,80.625,21.14,21.82,23.14,24.09,23.76,22.78,22.17,22.14,22.19,21.99,21.76,21.04,22.34
T2M,2010,7.0,81.25,22.44,22.86,24.44,25.77,25.93,25.01,24.55,25.28,25.37,24.73,23.58,22.59,24.38
T2M,2010,7.0,81.875,25.94,26.53,27.94,28.31,28.51,27.89,27.64,28.21,27.81,27.64,26.41,25.66,27.37
T2M,2010,7.5,78.75,27.0,27.32,28.53,29.16,29.25,28.08,27.05,26.14,26.78,27.18,27.15,26.92,27.55
T2M,2010,7.5,79.375,26.8,27.45,28.83,29.16,29.14,28.05,27.11,26.32,26.83,27.1,27.1,26.73,27.55
