-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2MWET     MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2MWET,2010,10.0,78.75,22.58,22.88,24.82,26.95,27.23,25.89,24.97,25.33,25.17,25.25,24.39,22.96,24.87
T2MWET,2010,10.0,79.375,23.62,23.89,25.86,27.8,28.13,26.95,26.2,26.36,26.08,26.14,25.34,24.14,25.88
T2MWET,2010,10.0,80.0,24.07,24.23,26.06,27.93,28.27,27.25,26.6,26.69,26.3,26.44,25.66,24.71,26.18
T2MWET,2010,10.0,80.625,24.24,24.38,26.03,27.81,28.23,27.38,26.75,26.78,26.36,26.56,25.71,24.98,26.27
T2MWET,2010,10.0,81.25,24.4,24.45,25.99,27.76,28.26,27.53,26.93,26.91,26.43,26.62,25.76,25.18,26.35
T2MWET,2010,10.0,81.875,24.52,24.41,25.92,27.69,28.25,27.54,27.01,26.95,26.42,26.61,25.77,25.25,26.36
T2MWET,2010,6.0,78.75,25.22,25.6,26.11,27.07,27.44,26.64,26.0,25.92,25.93,25.77,25.59,25.07,26.03
T2MWET,2010,6.0,79.375,25.15,25.56,26.14,27.05,27.44,26.61,26.02,25.92,25.88,25.79,25.63,25.08,26.02
T2MWET,2010,6.0,80.0,24.7,25.21,25.82,26.75,27.08,26.25,25.72,25.66,25.56,25.47,25.3,24.76,25.69
T2MWET,2010,6.0,80.625,24.32,24.8,25.43,26.41,26.7,25.84,25.37,25.36,25.25,25.12,24.93,24.38,25.33
T2MWET,2010,6.0,81.25,24.73,25.16,25.72,26.74,27.04,26.17,25.74,25.76,25.62,25.57,25.25,24.65,25.68
T2MWET,2010,6.0,81.875,25.31,25.72,26.03,27.11,27.49,26.7,26.27,26.3,26.08,26.14,25.57,25.05,26.15
T2MWET,2010,6.5,78.75,25.12,25.48,26.1,27.1,27.48,26.64,25.94,25.76,25.82,25.71,25.58,25.08,25.98
T2MWET,2010,6.5,79.375,25.08,25.48,26.12,27.05,27.45,26.6,25.94,25.74,25.76,25.71,25.59,25.1,25.97
T2MWET,2010,6.5,80.0,24.01,24.5,25.17,26.22,26.5,25.68,25.08,25.0,24.91,24.79,24.64,24.18,25.06
T2MWET,2010,6.5,80.625,22.23,22.6,23.33,24.56,24.84,23.94,23.37,23.39,23.33,23.12,22.92,22.49,23.34
T2MWET,2010,6.5,81.25,23.21,23.48,24.26,25.53,25.86,24.9,24.32,24.41,24.4,24.24,23.94,23.37,24.33
T2MWET,2010,6.5,81.875,24.88,25.24,25.79,26.93,27.35,26.56,26.08,26.15,25.92,25.95,25.3,24.81,25.91
T2MWET,2010,7.0,78.75,25.03,25.38,26.16,27.19,27.55,26.63,25.89,25.57,25.7,25.66,25.56,25.12,25.95
T2MWET,2010,7.0,79.375,24.92,25.37,26.15,27.11,27.46,26.55,25.85,25.55,25.63,25.6,25.51,25.08,25.9
T2MWET,2010,7.0,80.0,23.49,23.97,24.89,26.09,26.26,25.42,24.8,24.65,24.59,24.47,24.31,23.81,24.73
T2MWET,2010,7.0,80.625,20.07,20.33,21.18,22.68,22.98,21.95,21.34,21.32,21.32,21.19,20.96,20.4,21.31
T2MWET,2010,7.0,81.25,21.53,21.75,22.66,24.15,24.61,23.41,22.71,22.88,23.06,22.88,22.47,21.84,22.83
T2MWET,2010,7.0,81.875,24.43,24.72,25.48,26.69,27.15,26.29,25.75,25.93,25.74,25.68,25.03,24.51,25.62
T2MWET,2010,7.5,78.75,24.92,25.22,26.25,27.29,27.67,26.64,25.86,25.45,25.6,25.65,25.52,25.12,25.93
T2MWET,2010,7.5,79.375,24.76,25.15,26.21,27.19,27.54,26.58,25.82,25.48,25.57,25.58,25.45,25.03,25.86
T2MWET,2010,7.5,80.0,23.55,23.97,25.23,26.47,26.59,25.74,25.11,24.97,24.92,24.78,24.55,23.97,24.99
T2MWET,2010,7.5,80.625,21.81,22.06,23.31,24.89,24.97,24.08,23.55,23.5,23.43,23.21,22.94,22.29,23.34
T2MWET,2010,7.5,81.25,22.67,22.96,24.02,25.51,25.81,24.73,24.09,24.19,24.24,24.07,23.66,23.03,24.08
T2MWET,2010,7.5,81.875,24.57,24.77,25.66,26.96,27.34,26.48,25.93,26.05,25.83,25.78,25.2,24.65,25.77
T2MWET,2010,8.0,78.75,24.85,25.1,26.26,27.38,27.83,26.76,25.92,25.62,25.62,25.73,25.5,25.04,25.97
T2MWET,2010,8.0,79.375,24.66,24.96,26.14,27.3,27.68,26.67,25.87,25.6,25.56,25.64,25.43,24.95,25.87
T2MWET,2010,8.0,80.0,23.49,23.9,25.25,26.65,26.8,25.94,25.3,25.2,25.1,24.98,24.66,23.99,25.1
T2MWET,2010,8.0,80.625,22.71,23.04,24.39,25.98,26.0,25.17,24.66,24.61,24.52,24.26,23.89,23.21,24.37
T2MWET,2010,8.0,81.25,23.65,23.88,25.04,26.59,26.71,25.87,25.33,25.29,25.17,24.99,24.57,23.99,25.09
T2MWET,2010,8.0,81.875,24.86,25.02,26.0,27.34,27.7,27.0,26.51,26.48,26.11,26.1,25.52,24.99,26.14
T2MWET,2010,8.5,78.75,24.74,24.92,26.29,27.57,28.1,26.97,26.07,25.99,25.82,25.93,25.58,24.92,26.07
T2MWET,2010,8.5,79.375,24.63,24.78,26.14,27.51,27.94,26.9,26.08,25.9,25.72,25.84,25.55,24.94,25.99
T2MWET,2010,8.5,80.0,23.56,23.77,25.26,26.89,27.17,26.24,25.56,25.51,25.3,25.26,24.86,24.15,25.29
T2MWET,2010,8.5,80.625,22.8,23.02,24.45,26.2,26.36,25.51,24.96,24.99,24.79,24.56,24.14,23.43,24.6
T2MWET,2010,8.5,81.25,24.06,24.25,25.51,27.05,27.31,26.51,25.97,25.95,25.68,25.59,25.08,24.47,25.62
