-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TS     MERRA-2 Earth Skin Temperature (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,2010,10.0,78.75,25.42,28.1,32.34,33.98,32.49,30.91,30.46,30.64,29.52,27.97,25.67,24.01,29.29
TS,2010,10.0,79.375,25.74,27.25,30.41,32.1,31.66,30.58,30.22,30.06,29.24,28.55,27.43,25.75,29.08
TS,2010,10.0,80.0,26.59,27.42,29.94,31.32,30.86,29.84,29.44,29.47,29.06,29.02,28.31,26.75,29.0
TS,2010,10.0,80.625,27.0,27.61,29.62,30.85,30.65,29.81,29.25,29.31,29.12,29.27,28.63,27.3,29.03
TS,2010,10.0,81.25,27.28,27.69,29.36,30.63,30.82,29.98,29.42,29.34,29.22,29.42,28.85,27.63,29.14
TS,2010,10.0,81.875,27.56,27.61,29.36,30.67,30.98,29.93,29.48,29.32,29.1,29.43,28.96,27.79,29.18
TS,2010,6.0,78.75,28.09,28.61,29.59,30.37,29.69,28.52,27.6,27.17,27.92,27.96,28.62,28.14,28.52
TS,2010,6.0,79.375,28.08,28.61,29.66,30.24,29.64,28.39,27.61,27.2,27.64,27.97,28.7,28.16,28.49
TS,2010,6.0,80.0,27.42,28.01,28.98,29.41,28.89,27.76,27.16,26.97,27.11,27.37,27.87,27.34,27.86
TS,2010,6.0,80.625,26.68,27.25,28.58,28.66,28.2,27.15,26.77,26.76,26.76,26.9,27.1,26.41,27.27
TS,2010,6.0,81.25,27.12,27.52,28.8,29.24,28.72,27.61,27.35,27.35,27.26,27.59,27.81,26.84,27.77
TS,2010,6.0,81.875,28.12,28.41,29.48,30.15,29.75,28.73,28.38,28.36,28.09,28.65,28.76,27.77,28.72
TS,2010,6.5,78.75,27.96,28.42,29.54,30.34,29.62,28.38,27.36,26.77,27.6,27.79,28.51,28.15,28.37
TS,2010,6.5,79.375,27.95,28.52,29.74,30.2,29.56,28.28,27.4,26.81,27.4,27.78,28.55,28.13,28.36
TS,2010,6.5,80.0,26.24,27.07,28.13,28.42,27.88,26.9,26.21,26.05,26.19,26.28,26.5,26.1,26.83
TS,2010,6.5,80.625,23.77,24.48,26.15,26.0,25.74,24.94,24.41,24.55,24.53,24.35,23.93,23.38,24.69
TS,2010,6.5,81.25,24.66,25.06,26.69,27.21,26.96,26.09,25.68,26.08,26.11,25.91,25.38,24.48,25.86
TS,2010,6.5,81.875,27.44,27.8,29.05,29.7,29.54,28.72,28.35,28.43,28.09,28.45,28.19,27.2,28.41
TS,2010,7.0,78.75,27.86,28.2,29.44,30.29,29.63,28.19,27.18,26.34,27.28,27.66,28.42,28.17,28.22
TS,2010,7.0,79.375,27.81,28.47,29.98,30.17,29.5,28.12,27.26,26.5,27.22,27.59,28.32,27.96,28.24
TS,2010,7.0,80.0,25.55,26.66,28.46,28.38,27.55,26.56,25.93,25.7,25.9,25.88,26.01,25.42,26.5
TS,2010,7.0,80.625,21.35,21.95,23.43,24.33,23.89,22.95,22.41,22.46,22.53,22.26,21.83,21.03,22.54
TS,2010,7.0,81.25,22.56,22.91,24.62,25.9,25.87,24.93,24.57,25.57,25.85,24.98,23.61,22.49,24.49
TS,2010,7.0,81.875,26.67,27.09,28.53,29.19,29.34,28.61,28.3,28.69,28.3,28.25,27.43,26.45,28.07
TS,2010,7.5,78.75,27.78,28.07,29.36,30.24,29.74,28.17,27.16,26.13,27.07,27.57,28.4,28.12,28.15
TS,2010,7.5,79.375,27.73,28.47,30.1,30.29,29.65,28.2,27.34,26.53,27.23,27.53,28.24,27.82,28.26
TS,2010,7.5,80.0,25.66,27.12,30.08,29.24,28.01,27.09,26.54,26.33,26.53,26.29,26.29,25.44,27.05
TS,2010,7.5,80.625,22.88,23.67,26.77,27.17,26.04,25.42,25.08,25.18,25.0,24.42,23.84,22.83,24.86
TS,2010,7.5,81.25,23.75,24.31,26.79,27.93,27.39,27.03,27.12,27.74,27.51,26.35,24.81,23.7,26.2
TS,2010,7.5,81.875,26.86,27.25,28.85,29.82,29.92,29.19,28.98,29.26,28.87,28.65,27.83,26.69,28.51
TS,2010,8.0,78.75,27.75,27.99,29.28,30.16,30.0,28.55,27.53,26.62,27.18,27.66,28.41,27.98,28.26
TS,2010,8.0,79.375,27.73,28.33,30.2,30.47,30.01,28.77,27.87,27.08,27.48,27.63,28.22,27.63,28.45
TS,2010,8.0,80.0,25.71,27.36,30.76,30.02,28.67,28.3,27.9,27.55,27.54,26.69,26.46,25.35,27.69
TS,2010,8.0,80.625,23.88,25.06,28.88,29.14,27.31,27.46,27.3,27.09,26.77,25.56,24.84,23.72,26.42
TS,2010,8.0,81.25,25.15,25.74,28.54,29.95,28.86,29.04,28.64,28.44,27.76,27.09,26.08,24.99,27.52
TS,2010,8.0,81.875,27.59,27.9,29.34,30.56,30.67,29.77,29.41,29.28,28.97,28.97,28.59,27.4,29.04
TS,2010,8.5,78.75,27.68,27.85,29.23,30.41,30.42,29.14,28.11,27.37,27.62,27.93,28.5,27.83,28.51
TS,2010,8.5,79.375,27.7,27.98,29.73,30.6,30.32,29.13,28.34,27.53,27.66,27.88,28.37,27.63,28.57
TS,2010,8.5,80.0,25.7,26.7,30.23,30.57,29.5,29.13,28.79,28.21,27.86,27.08,26.76,25.6,28.01
TS,2010,8.5,80.625,23.97,24.92,28.98,29.98,28.45,28.84,28.71,28.3,27.53,26.03,25.13,23.96,27.07
TS,2010,8.5,81.25,26.33,27.11,29.62,30.74,30.15,29.79,29.4,29.11,28.63,28.06,27.42,26.14,28.54
TS,2010,8.5,81.875,27.82,28.04,29.52,30.75,30.89,29.87,29.48,29.3,29.1,29.16,28.79,27.59,29.19
TS,2010,9.0,78.75,27.05,27.92,29.97,31.26,31.22,30.07,29.18,28.88,28.86,28.36,27.92,26.74,28.95
TS,2010,9.0,79.375,27.23,27.69,29.69,31.04,30.79,29.68,29.04,28.55,28.41,28.38,28.39,27.18,28.84
TS,2010,9.0,80.0,25.84,26.68,29.92,31.21,30.43,29.62,29.51,28.92,28.35,27.71,27.24,25.82,28.44
TS,2010,9.0,80.625,24.88,25.7,29.14,30.57,29.71,29.52,29.44,29.04,28.22,27.14,26.31,25.01,27.89
TS,2010,9.0,81.25,26.9,27.37,29.34,30.58,30.48,29.84,29.32,29.2,28.84,28.68,28.16,26.91,28.8
TS,2010,9.0,81.875,27.87,27.93,29.47,30.75,30.93,29.9,29.46,29.32,29.1,29.29,28.88,27.69,29.22
TS,2010,9.5,78.75,26.19,28.28,31.62,32.92,32.17,30.88,30.25,30.34,29.78,28.11,26.64,25.06,29.35
TS,2010,9.5,79.375,26.73,27.48,29.94,31.49,31.16,30.2,29.69,29.5,29.14,28.81,28.31,26.72,29.1
TS,2010,9.5,80.0,26.47,27.49,30.38,31.82,30.97,29.88,29.66,29.46,28.95,28.6,28.01,26.46,29.01
TS,2010,9.5,80.625,26.4,27.28,29.85,31.12,30.53,29.8,29.43,29.33,28.88,28.57,27.89,26.55,28.8
TS,2010,9.5,81.25,27.24,27.66,29.36,30.62,30.69,29.93,29.33,29.28,29.07,29.17,28.66,27.44,29.04
TS,2010,9.5,81.875,27.74,27.76,29.41,30.73,30.94,29.91,29.47,29.33,29.1,29.36,28.93,27.75,29.2
TS,2011,10.0,78.75,23.69,26.21,30.46,32.09,32.42,31.78,31.22,31.27,30.98,27.84,25.5,24.31,28.98
TS,2011,10.0,79.375,25.12,26.52,29.56,31.03,31.0,30.94,30.72,30.38,30.17,29.04,27.21,25.84,28.96
TS,2011,10.0,80.0,25.93,26.8,28.98,30.37,29.89,29.85,29.82,29.31,29.16,29.39,28.15,26.89,28.71
TS,2011,10.0,80.625,26.35,27.02,28.58,29.99,29.73,29.6,29.47,29.01,28.84,29.42,28.58,27.48,28.67
TS,2011,10.0,81.25,26.56,27.15,28.35,29.94,29.93,29.73,29.47,29.06,28.98,29.49,28.83,27.89,28.78
TS,2011,10.0,81.875,26.58,27.26,28.35,29.97,29.94,29.76,29.45,29.1,29.07,29.47,28.87,28.1,28.83
TS,2011,6.0,78.75,27.38,27.9,28.84,29.39,28.98,28.32,27.43,27.86,28.04,28.82,29.07,28.31,28.36
TS,2011,6.0,79.375,27.37,27.92,28.83,29.35,28.92,28.25,27.42,27.92,28.24,28.85,29.17,28.35,28.38
TS,2011,6.0,80.0,26.69,27.28,28.2,28.52,28.17,27.63,27.03,27.45,27.78,28.17,28.41,27.7,27.75
TS,2011,6.0,80.625,25.84,26.45,27.46,27.67,27.39,27.0,26.59,26.96,27.21,27.45,27.57,26.84,27.04
TS,2011,6.0,81.25,26.06,26.69,27.88,28.32,27.82,27.52,27.12,27.47,27.69,27.97,28.14,27.35,27.5
TS,2011,6.0,81.875,26.7,27.39,28.65,29.32,28.74,28.61,28.22,28.21,28.36,28.74,29.01,28.24,28.35
TS,2011,6.5,78.75,27.38,27.86,28.82,29.43,28.99,28.22,27.18,27.48,27.92,28.73,29.04,28.29,28.28
TS,2011,6.5,79.375,27.32,27.81,28.76,29.36,28.95,28.21,27.26,27.6,28.16,28.74,29.09,28.27,28.29
TS,2011,6.5,80.0,25.68,26.27,27.16,27.37,27.4,26.85,26.18,26.44,26.8,27.12,27.11,26.46,26.74
TS,2011,6.5,80.625,23.25,23.88,24.69,24.73,25.2,24.72,24.34,24.6,24.73,24.8,24.42,23.75,24.43
TS,2011,6.5,81.25,24.01,24.54,25.65,26.07,26.34,25.88,25.65,26.16,26.37,26.41,25.7,24.89,25.64
TS,2011,6.5,81.875,26.21,26.8,28.08,28.82,28.64,28.66,28.32,28.15,28.24,28.45,28.41,27.62,28.03
TS,2011,7.0,78.75,27.32,27.84,28.8,29.5,28.99,28.04,26.97,27.12,27.88,28.6,29.01,28.29,28.2
TS,2011,7.0,79.375,27.15,27.66,28.65,29.34,28.93,28.05,27.14,27.33,28.1,28.61,28.9,28.13,28.17
TS,2011,7.0,80.0,24.99,25.71,26.68,27.06,27.13,26.51,25.9,26.15,26.59,26.92,26.51,25.82,26.33
TS,2011,7.0,80.625,20.96,21.74,22.41,22.8,23.41,22.78,22.34,22.76,22.94,23.07,22.26,21.49,22.41
TS,2011,7.0,81.25,22.15,22.67,23.75,24.42,25.16,24.43,24.6,25.87,26.39,26.21,23.9,22.87,24.37
TS,2011,7.0,81.875,25.63,26.12,27.35,28.2,28.57,28.54,28.41,28.48,28.5,28.38,27.63,26.82,27.72
TS,2011,7.5,78.75,27.23,27.73,28.69,29.57,28.94,27.84,27.02,27.06,27.88,28.5,28.99,28.25,28.14
TS,2011,7.5,79.375,26.97,27.54,28.6,29.49,28.94,28.02,27.36,27.45,28.23,28.62,28.79,28.01,28.17
TS,2011,7.5,80.0,24.92,25.71,26.95,27.61,27.51,27.0,26.65,27.01,27.5,27.67,26.6,25.86,26.75
TS,2011,7.5,80.625,22.51,23.26,24.34,25.03,25.51,25.11,24.95,25.71,25.91,25.79,24.07,23.29,24.62
TS,2011,7.5,81.25,23.35,23.84,25.14,25.93,26.73,26.1,26.91,28.08,28.71,28.1,25.02,24.07,26.0
TS,2011,7.5,81.875,25.77,26.39,27.74,28.86,29.14,28.99,28.97,29.15,29.25,28.97,27.99,27.0,28.18
TS,2011,8.0,78.75,27.08,27.54,28.49,29.64,29.0,28.07,27.48,27.4,27.92,28.54,28.96,28.16,28.19
TS,2011,8.0,79.375,26.82,27.42,28.58,29.72,29.09,28.39,27.82,27.75,28.4,28.7,28.75,27.93,28.28
TS,2011,8.0,80.0,24.91,25.72,27.27,28.07,27.97,27.8,27.74,28.05,28.72,28.26,26.71,25.8,27.25
TS,2011,8.0,80.625,23.45,24.15,25.54,26.16,26.63,26.65,27.07,27.61,28.1,27.22,25.03,24.18,25.98
TS,2011,8.0,81.25,24.48,25.1,26.49,27.35,27.76,27.8,28.42,28.87,29.11,28.04,26.32,25.4,27.09
TS,2011,8.0,81.875,26.32,27.01,28.34,29.61,29.69,29.67,29.33,29.1,29.16,29.22,28.76,27.73,28.66
TS,2011,8.5,78.75,26.87,27.41,28.48,29.93,29.35,28.65,28.02,27.86,28.18,28.79,28.88,28.04,28.37
TS,2011,8.5,79.375,26.74,27.33,28.57,29.99,29.29,28.73,28.28,27.91,28.35,28.77,28.77,27.91,28.39
TS,2011,8.5,80.0,25.01,25.77,27.37,28.44,28.34,28.66,28.52,28.29,29.08,28.25,26.87,25.9,27.54
TS,2011,8.5,80.625,23.58,24.28,25.81,26.51,27.03,28.08,28.23,28.13,29.06,27.29,25.17,24.27,26.45
TS,2011,8.5,81.25,25.37,26.12,27.75,28.84,28.88,29.23,29.16,29.05,29.42,28.74,27.52,26.5,28.05
TS,2011,8.5,81.875,26.5,27.14,28.48,29.86,29.88,29.81,29.44,29.15,29.19,29.39,28.94,27.94,28.81
TS,2011,9.0,78.75,26.02,27.16,29.15,30.52,30.41,29.82,29.29,29.24,29.53,29.2,28.11,27.04,28.79
TS,2011,9.0,79.375,26.32,27.11,28.78,30.38,29.68,29.34,29.06,28.7,28.91,29.18,28.55,27.43,28.62
TS,2011,9.0,80.0,25.15,25.92,27.71,29.24,28.92,29.33,29.28,28.81,29.32,28.6,27.16,26.05,27.96
TS,2011,9.0,80.625,24.4,25.07,26.67,27.87,28.16,29.19,29.21,28.81,29.48,28.08,26.26,25.22,27.37
TS,2011,9.0,81.25,25.96,26.64,28.03,29.34,29.44,29.56,29.37,29.04,29.17,29.12,28.29,27.21,28.43
TS,2011,9.0,81.875,26.59,27.2,28.46,29.91,29.95,29.78,29.48,29.16,29.12,29.43,28.98,28.07,28.84
TS,2011,9.5,78.75,24.63,26.79,30.29,31.53,31.73,31.07,30.91,31.02,31.04,28.8,26.61,25.36,29.15
TS,2011,9.5,79.375,25.91,26.9,29.09,30.71,30.12,30.0,29.91,29.52,29.58,29.55,28.21,26.89,28.87
TS,2011,9.5,80.0,25.7,26.67,29.0,30.42,29.68,29.77,29.85,29.33,29.53,29.31,27.91,26.62,28.65
TS,2011,9.5,80.625,25.7,26.51,28.36,29.64,29.38,29.59,29.59,29.13,29.32,29.1,27.87,26.72,28.41
TS,2011,9.5,81.25,26.37,27.04,28.3,29.78,29.79,29.65,29.44,29.05,29.02,29.38,28.71,27.71,28.69
TS,2011,9.5,81.875,26.6,27.23,28.42,29.96,29.93,29.75,29.48,29.13,29.08,29.44,28.93,28.12,28.84
TS,2012,10.0,78.75,25.33,28.14,32.49,32.44,31.12,31.09,32.38,31.33,31.13,27.83,26.17,26.47,29.66
TS,2012,10.0,79.375,25.64,27.5,30.42,31.25,30.64,30.44,30.83,30.31,30.19,28.47,27.01,26.37,29.09
TS,2012,10.0,80.0,26.43,27.48,29.79,30.64,29.83,29.6,29.75,29.22,29.15,28.76,27.83,26.86,28.78
