-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_RANGE,2010,10.0,78.75,14.66,17.91,20.4,13.83,13.58,14.68,14.06,15.53,14.25,14.14,8.72,11.79,22.94
T2M_RANGE,2010,10.0,79.375,6.76,9.8,11.13,6.53,7.81,8.49,8.01,9.06,7.77,7.39,4.95,6.59,14.03
T2M_RANGE,2010,10.0,80.0,3.39,5.29,6.06,3.93,4.42,4.5,4.67,4.72,4.33,3.11,3.06,4.91,9.95
T2M_RANGE,2010,10.0,80.625,2.38,3.03,5.67,3.15,3.65,3.63,3.66,3.78,3.54,2.95,2.96,3.31,8.2
T2M_RANGE,2010,10.0,81.25,2.5,2.24,4.82,2.92,3.28,3.02,3.27,3.64,3.2,2.8,2.59,2.68,7.01
T2M_RANGE,2010,10.0,81.875,2.73,2.11,4.16,2.74,2.84,2.65,3.03,3.21,2.91,2.92,2.94,2.85,6.81
T2M_RANGE,2010,6.0,78.75,2.59,2.1,2.52,2.73,2.4,1.8,2.14,1.64,1.86,2.17,2.29,3.45,5.51
T2M_RANGE,2010,6.0,79.375,2.73,2.58,2.54,3.25,2.12,1.84,1.81,1.62,1.75,2.41,2.59,3.45,5.44
T2M_RANGE,2010,6.0,80.0,5.36,5.49,5.11,3.43,3.06,2.66,2.22,2.22,2.19,2.89,3.3,3.91,6.61
T2M_RANGE,2010,6.0,80.625,7.16,7.07,8.93,4.66,4.49,4.35,3.55,3.65,3.83,4.39,4.41,4.98,9.8
T2M_RANGE,2010,6.0,81.25,5.01,4.8,6.1,3.87,3.35,3.86,3.39,3.31,3.75,3.61,4.09,4.13,7.01
T2M_RANGE,2010,6.0,81.875,2.64,1.82,3.43,2.24,2.19,2.34,1.82,1.97,2.29,2.47,3.79,2.89,5.34
T2M_RANGE,2010,6.5,78.75,2.45,2.32,2.67,3.0,2.29,2.16,1.79,1.71,2.01,2.07,2.33,3.58,5.73
T2M_RANGE,2010,6.5,79.375,3.17,3.73,2.66,3.06,2.15,2.05,1.72,1.58,1.74,2.32,2.69,2.8,4.86
T2M_RANGE,2010,6.5,80.0,9.23,9.54,9.07,5.75,4.83,4.37,3.78,3.72,3.95,4.9,5.1,5.35,11.07
T2M_RANGE,2010,6.5,80.625,13.4,13.81,15.95,9.82,8.52,8.35,7.18,7.29,8.0,9.13,9.07,9.29,16.98
T2M_RANGE,2010,6.5,81.25,10.42,10.06,13.76,8.6,7.98,8.15,7.98,8.28,9.34,10.05,7.93,8.52,14.28
T2M_RANGE,2010,6.5,81.875,3.72,3.53,5.12,3.25,3.58,4.07,4.2,4.7,4.68,4.39,4.61,3.86,6.69
T2M_RANGE,2010,7.0,78.75,2.4,2.65,3.0,2.95,2.75,2.25,1.57,1.87,1.95,1.78,2.42,3.2,5.42
T2M_RANGE,2010,7.0,79.375,3.87,5.16,4.35,3.39,3.07,2.54,2.0,2.0,1.99,2.1,2.87,2.59,5.76
T2M_RANGE,2010,7.0,80.0,10.37,11.28,11.65,7.02,5.63,5.37,4.94,4.5,4.72,5.59,6.36,6.81,13.66
T2M_RANGE,2010,7.0,80.625,13.53,13.5,15.66,10.54,8.76,8.83,7.51,7.13,7.44,8.7,9.22,9.17,16.76
T2M_RANGE,2010,7.0,81.25,12.12,11.92,16.27,10.44,9.76,11.04,10.64,12.09,12.67,13.68,10.18,10.22,17.43
T2M_RANGE,2010,7.0,81.875,5.21,5.15,8.44,5.54,5.74,6.62,6.89,7.45,7.53,7.75,6.19,5.15,9.48
T2M_RANGE,2010,7.5,78.75,2.54,2.95,3.33,2.71,2.85,2.31,1.56,1.69,1.89,1.84,2.87,2.69,4.93
T2M_RANGE,2010,7.5,79.375,4.2,6.16,6.54,3.69,3.56,2.79,2.05,2.1,2.29,2.3,3.59,2.86,7.0
T2M_RANGE,2010,7.5,80.0,10.29,13.41,15.72,8.64,7.49,5.95,5.29,4.94,5.56,5.93,7.61,7.08,16.38
T2M_RANGE,2010,7.5,80.625,13.59,14.58,19.46,12.34,9.02,9.4,9.17,8.44,8.49,9.43,9.41,9.41,19.65
T2M_RANGE,2010,7.5,81.25,11.41,11.22,17.89,11.34,9.76,11.18,11.11,13.87,12.82,13.2,9.4,9.71,18.51
T2M_RANGE,2010,7.5,81.875,4.38,3.98,7.54,4.96,5.49,5.96,6.86,8.3,8.28,6.76,5.49,4.91,10.06
T2M_RANGE,2010,8.0,78.75,2.36,3.17,3.57,2.97,3.0,2.87,2.14,1.96,2.33,2.19,3.04,3.11,5.42
T2M_RANGE,2010,8.0,79.375,4.28,6.22,7.16,4.46,3.53,3.17,2.23,2.37,2.43,2.39,3.57,3.16,7.33
T2M_RANGE,2010,8.0,80.0,10.1,14.02,16.89,9.58,7.31,6.78,6.65,6.99,7.61,5.73,7.2,6.93,16.89
T2M_RANGE,2010,8.0,80.625,12.28,14.89,20.52,14.8,9.01,9.78,10.61,11.31,10.81,8.95,9.0,9.07,20.56
T2M_RANGE,2010,8.0,81.25,8.05,9.25,14.35,11.43,9.15,10.75,10.74,11.98,10.48,10.24,8.22,7.28,15.1
T2M_RANGE,2010,8.0,81.875,2.87,2.43,4.6,2.94,4.37,5.1,4.78,5.45,5.0,4.57,4.32,3.72,7.99
T2M_RANGE,2010,8.5,78.75,2.35,3.44,3.76,3.22,3.52,3.68,3.22,3.39,2.74,3.19,2.93,3.51,6.98
T2M_RANGE,2010,8.5,79.375,3.43,5.44,6.24,4.65,2.66,2.72,2.32,2.19,1.94,2.23,3.39,3.07,7.52
T2M_RANGE,2010,8.5,80.0,8.92,12.46,15.74,9.36,6.74,6.92,7.19,6.96,6.73,5.04,6.91,6.1,15.74
T2M_RANGE,2010,8.5,80.625,10.84,14.16,20.67,16.05,11.35,12.06,12.13,12.45,11.93,9.37,9.03,9.3,21.8
T2M_RANGE,2010,8.5,81.25,5.35,6.03,10.14,7.91,7.91,8.23,8.23,9.29,8.01,7.03,5.69,5.43,11.52
T2M_RANGE,2010,8.5,81.875,2.5,2.41,4.46,2.66,3.98,3.94,4.24,4.76,4.49,4.18,4.04,3.18,7.21
T2M_RANGE,2010,9.0,78.75,5.79,6.74,8.35,5.5,6.81,6.43,6.17,7.01,6.24,5.57,4.81,5.32,11.17
T2M_RANGE,2010,9.0,79.375,2.99,5.15,6.07,4.59,3.71,3.73,3.75,3.63,3.29,3.33,3.05,3.45,8.58
T2M_RANGE,2010,9.0,80.0,7.02,10.34,13.1,8.67,6.8,6.51,6.91,6.06,6.05,4.97,6.12,5.06,13.99
T2M_RANGE,2010,9.0,80.625,8.39,10.86,16.11,12.72,10.44,10.85,10.16,10.59,9.43,8.26,7.01,7.24,17.99
T2M_RANGE,2010,9.0,81.25,3.48,3.7,7.25,5.11,5.7,5.64,5.65,6.5,5.59,4.79,3.93,4.27,8.87
T2M_RANGE,2010,9.0,81.875,2.4,2.33,4.27,2.62,3.33,3.33,3.58,4.26,3.56,3.31,3.33,2.59,6.34
T2M_RANGE,2010,9.5,78.75,11.66,13.36,15.94,10.42,11.01,11.25,10.99,12.46,11.0,10.59,7.32,9.38,18.26
T2M_RANGE,2010,9.5,79.375,3.38,5.49,6.59,3.69,4.9,4.97,5.11,5.23,4.73,4.06,3.41,4.7,10.03
T2M_RANGE,2010,9.5,80.0,4.72,7.19,9.14,6.07,5.13,4.83,4.61,4.65,4.74,3.6,3.89,5.08,10.86
T2M_RANGE,2010,9.5,80.625,4.32,5.96,9.16,6.53,6.18,6.25,5.43,5.73,5.97,5.13,4.42,4.96,10.67
T2M_RANGE,2010,9.5,81.25,2.43,2.52,5.46,3.26,4.18,3.86,3.66,4.54,4.34,3.55,3.15,2.88,7.37
T2M_RANGE,2010,9.5,81.875,2.47,2.24,4.38,2.69,3.24,3.13,3.23,3.75,3.66,3.18,3.14,2.56,6.59
T2M_RANGE,2011,10.0,78.75,13.14,16.33,18.89,15.56,14.61,15.37,14.49,15.45,14.47,11.35,11.67,14.51,23.02
T2M_RANGE,2011,10.0,79.375,6.18,7.79,10.08,7.07,7.41,8.13,8.36,9.01,8.09,5.77,5.7,8.21,14.61
