-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MAX,2010,10.0,78.75,32.12,36.81,39.26,40.4,39.52,39.29,37.58,38.57,37.57,35.43,30.73,29.6,40.4
T2M_MAX,2010,10.0,79.375,28.31,31.98,34.37,34.79,35.58,34.97,34.3,34.52,33.42,32.29,29.3,28.44,35.58
T2M_MAX,2010,10.0,80.0,27.48,29.51,31.37,32.38,32.81,31.96,31.92,31.7,30.63,30.07,28.87,27.77,32.81
T2M_MAX,2010,10.0,80.625,27.26,27.85,31.35,31.74,32.5,31.42,30.9,30.62,30.08,29.99,29.04,27.61,32.5
T2M_MAX,2010,10.0,81.25,27.62,27.33,30.54,31.25,32.1,31.08,30.65,30.45,29.95,29.94,28.64,27.88,32.1
T2M_MAX,2010,10.0,81.875,27.84,27.36,29.8,30.87,31.92,30.84,30.48,30.23,29.57,29.8,28.81,28.03,31.92
T2M_MAX,2010,6.0,78.75,28.68,28.67,29.66,30.27,30.03,29.08,28.28,27.88,28.2,28.58,28.42,28.21,30.27
T2M_MAX,2010,6.0,79.375,28.8,29.08,29.71,30.23,29.89,29.03,28.15,27.94,28.05,28.6,28.53,28.24,30.23
T2M_MAX,2010,6.0,80.0,29.47,30.35,30.72,29.98,30.26,29.15,28.07,28.03,27.94,28.52,28.54,28.05,30.72
T2M_MAX,2010,6.0,80.625,29.74,30.57,32.38,30.59,30.76,29.92,28.87,28.58,28.66,28.87,28.96,28.53,32.38
T2M_MAX,2010,6.0,81.25,28.53,29.19,30.53,30.49,30.29,29.95,29.19,28.91,29.35,29.2,28.95,28.27,30.53
T2M_MAX,2010,6.0,81.875,28.45,28.52,29.58,29.81,30.22,29.33,28.74,28.8,28.68,29.03,29.0,27.77,30.22
T2M_MAX,2010,6.5,78.75,28.52,28.8,29.97,30.42,29.93,29.1,28.07,27.69,28.06,28.29,28.32,28.27,30.42
T2M_MAX,2010,6.5,79.375,28.83,29.8,29.95,30.36,29.84,29.08,28.07,27.67,27.84,28.38,28.37,28.3,30.36
T2M_MAX,2010,6.5,80.0,30.16,31.57,32.0,31.0,30.73,29.48,28.29,27.82,28.17,28.61,28.8,28.73,32.0
T2M_MAX,2010,6.5,80.625,29.88,31.65,33.46,31.45,31.15,30.23,28.93,28.55,28.84,29.38,29.69,28.73,33.46
T2M_MAX,2010,6.5,81.25,28.94,29.96,32.8,31.83,31.73,31.54,30.69,30.87,31.69,31.47,29.87,29.26,32.8
T2M_MAX,2010,6.5,81.875,28.37,28.96,30.44,30.29,30.89,30.5,30.29,30.82,30.71,30.47,29.37,28.06,30.89
T2M_MAX,2010,7.0,78.75,28.34,28.91,29.99,30.42,30.12,29.06,27.83,27.45,27.83,27.97,28.35,28.2,30.42
T2M_MAX,2010,7.0,79.375,28.93,30.5,30.76,30.82,30.4,29.34,27.98,27.53,27.77,28.07,28.42,28.16,30.82
T2M_MAX,2010,7.0,80.0,30.05,32.13,33.34,31.62,30.97,29.67,28.87,27.82,28.36,28.83,29.53,28.98,33.34
T2M_MAX,2010,7.0,80.625,27.33,28.84,30.56,30.26,29.28,28.27,27.23,26.27,26.64,26.74,27.38,26.22,30.56
T2M_MAX,2010,7.0,81.25,27.99,28.95,32.19,31.48,31.61,31.95,30.91,32.54,33.3,32.93,29.8,28.53,33.3
T2M_MAX,2010,7.0,81.875,28.52,29.4,32.21,31.8,32.11,32.17,31.91,32.69,32.79,32.51,30.52,28.7,32.79
T2M_MAX,2010,7.5,78.75,28.23,28.97,30.0,30.26,30.23,29.12,27.74,27.02,27.52,27.89,28.48,28.02,30.26
T2M_MAX,2010,7.5,79.375,28.79,30.85,31.59,31.07,30.64,29.48,28.05,27.39,27.77,28.13,29.14,28.16,31.59
T2M_MAX,2010,7.5,80.0,29.91,33.67,36.0,33.73,31.73,30.5,29.68,28.75,29.49,29.42,30.56,28.92,36.0
T2M_MAX,2010,7.5,80.625,29.44,31.27,35.5,34.54,31.5,31.15,30.68,29.9,29.81,29.49,29.49,27.98,35.5
T2M_MAX,2010,7.5,81.25,29.08,30.21,35.18,33.67,32.81,33.48,33.2,35.8,35.17,33.83,30.16,29.1,35.8
T2M_MAX,2010,7.5,81.875,28.47,28.68,31.72,32.02,32.42,32.2,32.49,34.01,33.7,32.17,30.33,28.86,34.01
T2M_MAX,2010,8.0,78.75,28.0,29.02,30.08,30.29,30.59,29.67,28.48,27.4,27.8,28.0,28.54,28.28,30.59
T2M_MAX,2010,8.0,79.375,28.67,30.6,31.71,31.36,30.77,29.98,28.38,27.76,28.02,28.24,29.18,28.11,31.71
T2M_MAX,2010,8.0,80.0,29.86,34.23,36.65,34.99,32.24,31.86,31.49,31.11,31.35,29.61,30.37,28.65,36.65
T2M_MAX,2010,8.0,80.625,29.53,33.06,37.81,37.49,32.48,33.25,33.2,34.02,33.24,30.5,30.22,28.67,37.81
T2M_MAX,2010,8.0,81.25,28.99,30.23,34.87,35.62,33.99,35.0,34.12,35.25,34.11,32.5,30.55,29.21,35.62
T2M_MAX,2010,8.0,81.875,28.16,28.25,30.11,31.07,32.51,32.23,31.68,31.99,31.0,30.94,29.81,28.24,32.51
T2M_MAX,2010,8.5,78.75,27.8,28.96,29.87,30.73,31.81,31.08,29.69,29.18,28.75,29.18,28.95,28.34,31.81
T2M_MAX,2010,8.5,79.375,28.19,30.12,31.21,32.2,30.8,30.13,29.01,28.11,27.96,28.26,29.24,27.87,32.2
T2M_MAX,2010,8.5,80.0,29.36,33.1,35.75,35.23,32.74,32.76,32.74,31.66,31.0,29.53,30.58,28.51,35.75
T2M_MAX,2010,8.5,80.625,29.35,33.05,37.73,38.86,35.07,36.01,35.45,35.62,35.03,31.58,30.57,29.26,38.86
T2M_MAX,2010,8.5,81.25,28.33,29.5,33.07,34.45,34.16,34.23,33.64,34.1,33.2,31.61,29.95,28.79,34.45
T2M_MAX,2010,8.5,81.875,28.07,28.23,30.25,30.87,32.26,31.72,31.44,31.47,30.63,30.6,29.67,28.23,32.26
T2M_MAX,2010,9.0,78.75,29.0,30.48,32.39,33.2,34.38,33.45,32.41,32.65,32.06,31.18,29.55,28.61,34.38
T2M_MAX,2010,9.0,79.375,27.82,29.9,31.26,32.84,32.09,31.39,30.83,30.03,29.72,29.78,29.11,27.71,32.84
T2M_MAX,2010,9.0,80.0,28.62,32.14,34.37,35.26,33.74,33.15,32.96,31.57,31.1,30.2,30.53,28.15,35.26
T2M_MAX,2010,9.0,80.625,29.01,31.81,35.76,37.64,35.91,35.87,34.87,34.99,33.69,31.93,30.66,29.29,37.64
T2M_MAX,2010,9.0,81.25,27.78,28.24,31.87,32.71,32.89,32.92,32.32,32.62,31.66,30.83,29.42,28.32,32.92
T2M_MAX,2010,9.0,81.875,27.93,28.02,30.16,30.88,31.83,31.38,31.13,30.96,30.2,30.13,28.98,28.08,31.83
T2M_MAX,2010,9.5,78.75,31.25,34.45,36.96,37.44,37.85,37.02,35.82,36.66,35.62,33.77,30.37,29.72,37.85
T2M_MAX,2010,9.5,79.375,27.64,29.79,31.78,32.39,33.34,32.35,32.26,31.63,31.16,30.74,28.85,28.01,33.34
T2M_MAX,2010,9.5,80.0,27.99,30.68,32.65,33.89,33.33,32.31,31.7,31.07,30.71,29.99,29.37,28.11,33.89
T2M_MAX,2010,9.5,80.625,27.77,29.59,32.98,34.09,33.97,33.2,32.02,32.02,31.74,31.02,29.94,28.38,34.09
T2M_MAX,2010,9.5,81.25,27.48,27.6,30.85,31.54,32.34,31.8,30.96,31.13,30.34,30.38,28.92,27.85,32.34
T2M_MAX,2010,9.5,81.875,27.8,27.68,30.0,30.95,31.92,31.13,30.73,30.67,29.8,30.01,28.86,27.9,31.92
T2M_MAX,2011,10.0,78.75,29.42,33.71,38.37,39.09,39.27,39.3,38.63,39.28,37.73,34.68,30.23,32.16,39.3
T2M_MAX,2011,10.0,79.375,27.74,29.97,33.3,33.65,34.63,35.12,35.05,35.17,34.12,31.93,29.26,28.77,35.17
T2M_MAX,2011,10.0,80.0,26.99,28.26,30.85,30.98,31.4,32.24,32.69,31.54,31.09,30.05,28.84,28.18,32.69
T2M_MAX,2011,10.0,80.625,26.99,27.78,29.69,30.55,31.23,31.17,31.27,30.23,30.19,29.7,28.73,28.2,31.27
T2M_MAX,2011,10.0,81.25,27.1,27.64,28.58,29.94,31.19,30.86,30.69,30.05,30.11,29.5,28.71,28.29,31.19
T2M_MAX,2011,10.0,81.875,26.99,27.84,28.27,29.84,30.91,30.97,30.59,29.9,29.92,29.23,28.77,28.38,30.97
T2M_MAX,2011,6.0,78.75,27.75,28.31,29.08,29.01,29.22,29.16,28.28,28.22,28.25,28.48,29.31,28.59,29.31
T2M_MAX,2011,6.0,79.375,27.81,28.38,29.11,28.95,29.07,28.96,28.25,28.31,28.31,28.49,29.07,28.63,29.11
T2M_MAX,2011,6.0,80.0,28.29,28.61,29.63,29.08,29.06,28.78,28.15,28.19,28.53,28.73,29.18,28.99,29.63
T2M_MAX,2011,6.0,80.625,28.56,29.16,29.98,29.98,29.42,29.21,28.61,28.58,29.4,29.35,29.88,29.57,29.98
T2M_MAX,2011,6.0,81.25,27.39,28.41,29.43,29.7,29.19,29.34,29.0,28.89,29.57,29.41,28.92,28.88,29.7
T2M_MAX,2011,6.0,81.875,27.18,27.99,28.64,28.95,29.02,29.09,28.96,28.51,28.81,28.74,28.74,28.5,29.09
T2M_MAX,2011,6.5,78.75,27.82,28.4,29.03,29.1,29.24,28.9,28.08,28.17,28.37,28.45,29.32,28.8,29.32
T2M_MAX,2011,6.5,79.375,27.84,28.43,29.01,29.1,29.07,28.76,28.05,28.32,28.34,28.6,29.37,28.53,29.37
T2M_MAX,2011,6.5,80.0,29.29,29.52,30.26,29.85,29.67,28.67,28.07,28.45,28.89,29.29,29.99,29.68,30.26
T2M_MAX,2011,6.5,80.625,28.74,29.43,30.3,30.91,30.25,28.99,28.57,28.64,29.65,30.02,30.2,29.78,30.91
T2M_MAX,2011,6.5,81.25,28.39,29.35,30.6,31.05,30.62,30.34,30.37,31.14,32.12,31.96,29.99,29.71,32.12
T2M_MAX,2011,6.5,81.875,27.16,28.08,29.09,29.36,29.79,30.1,29.93,30.39,30.36,30.2,28.67,28.85,30.39
T2M_MAX,2011,7.0,78.75,27.75,28.48,28.86,29.18,29.38,28.78,27.91,28.05,28.37,28.59,29.11,28.82,29.38
