-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MIN,2010,10.0,78.75,17.46,18.9,18.86,26.57,25.94,24.61,23.52,23.04,23.32,21.29,22.01,17.81,17.46
T2M_MIN,2010,10.0,79.375,21.55,22.18,23.24,28.26,27.77,26.48,26.29,25.46,25.65,24.9,24.35,21.85,21.55
T2M_MIN,2010,10.0,80.0,24.09,24.22,25.31,28.45,28.39,27.46,27.25,26.98,26.3,26.96,25.81,22.86,22.86
T2M_MIN,2010,10.0,80.625,24.88,24.82,25.68,28.59,28.85,27.79,27.24,26.84,26.54,27.04,26.08,24.3,24.3
T2M_MIN,2010,10.0,81.25,25.12,25.09,25.72,28.33,28.82,28.06,27.38,26.81,26.75,27.14,26.05,25.2,25.09
T2M_MIN,2010,10.0,81.875,25.11,25.25,25.64,28.13,29.08,28.19,27.45,27.02,26.66,26.88,25.87,25.18,25.11
T2M_MIN,2010,6.0,78.75,26.09,26.57,27.14,27.54,27.63,27.28,26.14,26.24,26.34,26.41,26.13,24.76,24.76
T2M_MIN,2010,6.0,79.375,26.07,26.5,27.17,26.98,27.77,27.19,26.34,26.32,26.3,26.19,25.94,24.79,24.79
T2M_MIN,2010,6.0,80.0,24.11,24.86,25.61,26.55,27.2,26.49,25.85,25.81,25.75,25.63,25.24,24.14,24.11
T2M_MIN,2010,6.0,80.625,22.58,23.5,23.45,25.93,26.27,25.57,25.32,24.93,24.83,24.48,24.55,23.55,22.58
T2M_MIN,2010,6.0,81.25,23.52,24.39,24.43,26.62,26.94,26.09,25.8,25.6,25.6,25.59,24.86,24.14,23.52
T2M_MIN,2010,6.0,81.875,25.81,26.7,26.15,27.57,28.03,26.99,26.92,26.83,26.39,26.56,25.21,24.88,24.88
T2M_MIN,2010,6.5,78.75,26.07,26.48,27.3,27.42,27.64,26.94,26.28,25.98,26.05,26.22,25.99,24.69,24.69
T2M_MIN,2010,6.5,79.375,25.66,26.07,27.29,27.3,27.69,27.03,26.35,26.09,26.1,26.06,25.68,25.5,25.5
T2M_MIN,2010,6.5,80.0,20.93,22.03,22.93,25.25,25.9,25.11,24.51,24.1,24.22,23.71,23.7,23.38,20.93
T2M_MIN,2010,6.5,80.625,16.48,17.84,17.51,21.63,22.63,21.88,21.75,21.26,20.84,20.25,20.62,19.44,16.48
T2M_MIN,2010,6.5,81.25,18.52,19.9,19.04,23.23,23.75,23.39,22.71,22.59,22.35,21.42,21.94,20.74,18.52
T2M_MIN,2010,6.5,81.875,24.65,25.43,25.32,27.04,27.31,26.43,26.09,26.12,26.03,26.08,24.76,24.2,24.2
T2M_MIN,2010,7.0,78.75,25.94,26.26,26.99,27.47,27.37,26.81,26.26,25.58,25.88,26.19,25.93,25.0,25.0
T2M_MIN,2010,7.0,79.375,25.06,25.34,26.41,27.43,27.33,26.8,25.98,25.53,25.78,25.97,25.55,25.57,25.06
T2M_MIN,2010,7.0,80.0,19.68,20.85,21.69,24.6,25.34,24.3,23.93,23.32,23.64,23.24,23.17,22.17,19.68
T2M_MIN,2010,7.0,80.625,13.8,15.34,14.9,19.72,20.52,19.44,19.72,19.14,19.2,18.04,18.16,17.05,13.8
T2M_MIN,2010,7.0,81.25,15.87,17.03,15.92,21.04,21.85,20.91,20.27,20.45,20.63,19.25,19.62,18.31,15.87
T2M_MIN,2010,7.0,81.875,23.31,24.25,23.77,26.26,26.37,25.55,25.02,25.24,25.26,24.76,24.33,23.55,23.31
T2M_MIN,2010,7.5,78.75,25.69,26.02,26.67,27.55,27.38,26.81,26.18,25.33,25.63,26.05,25.61,25.33,25.33
T2M_MIN,2010,7.5,79.375,24.59,24.69,25.05,27.38,27.08,26.69,26.0,25.29,25.48,25.83,25.55,25.3,24.59
T2M_MIN,2010,7.5,80.0,19.62,20.26,20.28,25.09,24.24,24.55,24.39,23.81,23.93,23.49,22.95,21.84,19.62
T2M_MIN,2010,7.5,80.625,15.85,16.69,16.04,22.2,22.48,21.75,21.51,21.46,21.32,20.06,20.08,18.57,15.85
T2M_MIN,2010,7.5,81.25,17.67,18.99,17.29,22.33,23.05,22.3,22.09,21.93,22.35,20.63,20.76,19.39,17.29
T2M_MIN,2010,7.5,81.875,24.09,24.7,24.18,27.06,26.93,26.24,25.63,25.71,25.42,25.41,24.84,23.95,23.95
T2M_MIN,2010,8.0,78.75,25.64,25.85,26.51,27.32,27.59,26.8,26.34,25.44,25.47,25.81,25.5,25.17,25.17
T2M_MIN,2010,8.0,79.375,24.39,24.38,24.55,26.9,27.24,26.81,26.15,25.39,25.59,25.85,25.61,24.95,24.38
T2M_MIN,2010,8.0,80.0,19.76,20.21,19.76,25.41,24.93,25.08,24.84,24.12,23.74,23.88,23.17,21.72,19.76
T2M_MIN,2010,8.0,80.625,17.25,18.17,17.29,22.69,23.47,23.47,22.59,22.71,22.43,21.55,21.22,19.6,17.25
T2M_MIN,2010,8.0,81.25,20.94,20.98,20.52,24.19,24.84,24.25,23.38,23.27,23.63,22.26,22.33,21.93,20.52
T2M_MIN,2010,8.0,81.875,25.29,25.82,25.51,28.13,28.14,27.13,26.9,26.54,26.0,26.37,25.49,24.52,24.52
T2M_MIN,2010,8.5,78.75,25.45,25.52,26.11,27.51,28.29,27.4,26.47,25.79,26.01,25.99,26.02,24.83,24.83
T2M_MIN,2010,8.5,79.375,24.76,24.68,24.97,27.55,28.14,27.41,26.69,25.92,26.02,26.03,25.85,24.8,24.68
T2M_MIN,2010,8.5,80.0,20.44,20.64,20.01,25.87,26.0,25.84,25.55,24.7,24.27,24.49,23.67,22.41,20.01
T2M_MIN,2010,8.5,80.625,18.51,18.89,17.06,22.81,23.72,23.95,23.32,23.17,23.1,22.21,21.54,19.96,17.06
T2M_MIN,2010,8.5,81.25,22.98,23.47,22.93,26.54,26.25,26.0,25.41,24.81,25.19,24.58,24.26,23.36,22.93
T2M_MIN,2010,8.5,81.875,25.57,25.82,25.79,28.21,28.28,27.78,27.2,26.71,26.14,26.42,25.63,25.05,25.05
T2M_MIN,2010,9.0,78.75,23.21,23.74,24.04,27.7,27.57,27.02,26.24,25.64,25.82,25.61,24.74,23.29,23.21
T2M_MIN,2010,9.0,79.375,24.83,24.75,25.19,28.25,28.38,27.66,27.08,26.4,26.43,26.45,26.06,24.26,24.26
T2M_MIN,2010,9.0,80.0,21.6,21.8,21.27,26.59,26.94,26.64,26.05,25.51,25.05,25.23,24.41,23.09,21.27
T2M_MIN,2010,9.0,80.625,20.62,20.95,19.65,24.92,25.47,25.02,24.71,24.4,24.26,23.67,23.65,22.05,19.65
T2M_MIN,2010,9.0,81.25,24.3,24.54,24.62,27.6,27.19,27.28,26.67,26.12,26.07,26.04,25.49,24.05,24.05
T2M_MIN,2010,9.0,81.875,25.53,25.69,25.89,28.26,28.5,28.05,27.55,26.7,26.64,26.82,25.65,25.49,25.49
T2M_MIN,2010,9.5,78.75,19.59,21.09,21.02,27.02,26.84,25.77,24.83,24.2,24.62,23.18,23.05,20.34,19.59
T2M_MIN,2010,9.5,79.375,24.26,24.3,25.19,28.7,28.44,27.38,27.15,26.4,26.43,26.68,25.44,23.31,23.31
T2M_MIN,2010,9.5,80.0,23.27,23.49,23.51,27.82,28.2,27.48,27.09,26.42,25.97,26.39,25.48,23.03,23.03
T2M_MIN,2010,9.5,80.625,23.45,23.63,23.82,27.56,27.79,26.95,26.59,26.29,25.77,25.89,25.52,23.42,23.42
T2M_MIN,2010,9.5,81.25,25.05,25.08,25.39,28.28,28.16,27.94,27.3,26.59,26.0,26.83,25.77,24.97,24.97
T2M_MIN,2010,9.5,81.875,25.33,25.44,25.62,28.26,28.68,28.0,27.5,26.92,26.14,26.83,25.72,25.34,25.33
T2M_MIN,2011,10.0,78.75,16.28,17.38,19.48,23.53,24.66,23.93,24.14,23.83,23.26,23.33,18.56,17.65,16.28
T2M_MIN,2011,10.0,79.375,21.56,22.18,23.22,26.58,27.22,26.99,26.69,26.16,26.03,26.16,23.56,20.56,20.56
