-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_LW_DWN,2010,6.5,79.5,35.19,35.44,35.95,37.15,37.46,36.81,36.61,36.33,36.2,35.97,36.36,35.94,36.29
ALLSKY_SFC_LW_DWN,2010,6.5,80.5,34.5,34.47,35.09,36.11,36.27,35.7,35.52,35.52,35.28,35.1,35.2,34.93,35.31
ALLSKY_SFC_LW_DWN,2010,6.5,81.5,34.98,34.86,35.65,36.61,36.68,36.27,36.1,36.19,35.99,35.72,35.87,35.38,35.86
ALLSKY_SFC_LW_DWN,2010,7.5,79.5,34.97,35.03,35.66,37.19,37.48,36.91,36.46,36.3,36.06,36.14,36.4,36.07,36.22
ALLSKY_SFC_LW_DWN,2010,7.5,80.5,34.25,34.08,35.2,36.31,36.31,35.99,35.7,35.79,35.49,35.32,35.32,35.05,35.4
ALLSKY_SFC_LW_DWN,2010,7.5,81.5,35.13,35.05,35.5,36.93,37.16,37.03,36.83,36.98,36.76,36.31,36.02,35.7,36.28
ALLSKY_SFC_LW_DWN,2010,8.5,79.5,34.85,34.77,35.42,37.12,37.46,36.84,36.53,36.42,36.18,36.31,36.54,36.22,36.22
ALLSKY_SFC_LW_DWN,2010,8.5,80.5,34.81,34.97,36.14,37.1,37.08,36.65,36.48,36.63,36.44,36.16,36.09,35.82,36.2
ALLSKY_SFC_LW_DWN,2010,8.5,81.5,35.33,35.27,35.9,37.22,37.33,37.04,36.89,37.02,36.9,36.52,36.37,36.24,36.5
ALLSKY_SFC_LW_DWN,2010,9.5,79.5,34.6,34.35,35.38,37.12,37.56,37.08,36.92,37.02,36.72,36.63,36.57,36.03,36.33
ALLSKY_SFC_LW_DWN,2010,9.5,80.5,34.99,34.91,35.89,37.47,37.58,37.13,37.15,37.34,37.09,36.8,36.64,36.26,36.6
ALLSKY_SFC_LW_DWN,2010,9.5,81.5,34.85,34.44,35.07,36.9,37.35,37.15,37.03,37.25,36.95,36.66,36.44,36.3,36.37
ALLSKY_SFC_LW_DWN,2011,6.5,79.5,35.51,35.57,35.83,36.48,36.53,36.43,36.38,36.38,36.14,36.18,36.26,35.66,36.11
