-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DNI,2010,6.5,79.5,18.9,18.14,17.91,15.12,10.55,11.9,9.8,11.48,12.44,15.14,10.27,9.59,13.44
ALLSKY_SFC_SW_DNI,2010,6.5,80.5,11.71,13.73,13.35,11.18,6.82,6.35,5.67,5.47,6.85,9.36,7.49,6.24,8.68
ALLSKY_SFC_SW_DNI,2010,6.5,81.5,12.27,14.55,15.21,15.64,12.36,11.84,11.61,12.63,11.75,14.82,8.22,7.29,12.35
ALLSKY_SFC_SW_DNI,2010,7.5,79.5,17.11,18.02,18.51,15.6,11.64,12.74,12.54,11.82,13.0,14.61,9.85,8.38,13.65
ALLSKY_SFC_SW_DNI,2010,7.5,80.5,11.0,14.35,14.4,12.72,9.33,7.45,7.37,6.13,7.17,10.19,7.77,4.94,9.4
ALLSKY_SFC_SW_DNI,2010,7.5,81.5,10.51,12.71,14.3,15.64,15.12,12.02,11.11,11.83,11.64,14.39,8.22,5.13,11.89
ALLSKY_SFC_SW_DNI,2010,8.5,79.5,15.58,17.65,19.72,16.6,13.4,13.94,13.21,11.95,13.92,14.75,8.44,7.05,13.85
ALLSKY_SFC_SW_DNI,2010,8.5,80.5,10.68,12.33,13.94,14.21,10.06,9.91,9.98,7.3,7.88,9.87,6.06,4.42,9.72
ALLSKY_SFC_SW_DNI,2010,8.5,81.5,12.99,13.3,17.45,17.89,13.96,12.44,12.04,9.49,10.62,12.71,8.41,5.51,12.24
ALLSKY_SFC_SW_DNI,2010,9.5,79.5,16.12,17.49,19.54,17.66,13.6,12.92,11.89,11.61,12.02,13.32,8.17,6.9,13.44
ALLSKY_SFC_SW_DNI,2010,9.5,80.5,13.63,14.49,17.56,16.92,12.56,11.79,11.8,9.74,10.0,11.78,7.24,5.51,11.92
ALLSKY_SFC_SW_DNI,2010,9.5,81.5,16.7,17.48,21.42,19.81,16.01,14.15,14.26,10.8,11.92,14.72,8.75,6.61,14.39
ALLSKY_SFC_SW_DNI,2011,6.5,79.5,13.03,13.05,17.18,12.86,15.35,13.88,10.18,13.03,14.47,17.14,11.65,12.52,13.7
ALLSKY_SFC_SW_DNI,2011,6.5,80.5,7.84,7.48,10.37,9.0,10.28,8.15,4.44,6.48,9.93,10.19,7.44,8.24,8.32
ALLSKY_SFC_SW_DNI,2011,6.5,81.5,8.64,8.29,13.23,12.9,16.12,14.22,9.22,13.38,15.31,12.42,8.38,8.2,11.69
ALLSKY_SFC_SW_DNI,2011,7.5,79.5,10.79,12.66,18.14,12.8,16.07,14.99,13.56,14.35,15.55,16.62,10.91,11.37,13.98
ALLSKY_SFC_SW_DNI,2011,7.5,80.5,5.96,8.6,12.47,11.14,11.65,9.3,5.29,7.7,11.1,11.3,8.04,7.28,9.15
ALLSKY_SFC_SW_DNI,2011,7.5,81.5,4.77,7.33,12.25,14.43,16.16,14.23,10.24,13.5,15.06,12.59,8.23,6.3,11.26
