-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2010,10.0,78.75,0.34,0.0,0.08,0.75,2.15,1.87,1.43,2.39,4.72,5.11,13.62,4.15,3.05
PRECTOTCORR,2010,10.0,79.375,0.74,0.05,0.1,1.34,2.2,1.82,1.19,3.71,5.24,5.22,14.95,7.31,3.66
PRECTOTCORR,2010,10.0,80.0,1.26,0.17,0.39,2.5,2.89,2.39,1.69,4.39,4.96,5.07,14.78,10.58,4.26
PRECTOTCORR,2010,10.0,80.625,1.67,0.18,0.78,3.38,3.44,3.29,3.19,5.27,6.0,5.07,14.37,13.3,5.0
PRECTOTCORR,2010,10.0,81.25,1.84,0.15,1.07,4.43,3.87,4.51,5.32,6.66,7.5,5.62,14.28,14.72,5.83
PRECTOTCORR,2010,10.0,81.875,1.84,0.15,1.08,4.72,3.9,4.74,5.7,7.09,7.43,5.77,14.11,14.84,5.95
PRECTOTCORR,2010,6.0,78.75,2.13,3.13,2.35,7.68,9.9,7.29,4.5,4.76,6.4,6.21,11.3,8.07,6.14
PRECTOTCORR,2010,6.0,79.375,2.7,3.29,2.97,8.72,11.33,7.52,4.93,5.03,6.54,6.36,13.31,10.08,6.9
PRECTOTCORR,2010,6.0,80.0,3.76,3.01,3.69,10.25,14.92,7.2,5.9,5.36,7.34,6.36,16.67,12.85,8.11
PRECTOTCORR,2010,6.0,80.625,3.41,2.06,3.77,8.75,11.88,5.22,4.41,4.11,5.37,5.11,16.16,12.01,6.85
PRECTOTCORR,2010,6.0,81.25,5.79,2.22,3.96,14.31,13.78,6.61,5.72,6.49,8.54,6.89,21.38,15.59,9.27
PRECTOTCORR,2010,6.0,81.875,4.57,1.63,3.8,11.85,10.44,5.2,4.43,5.18,6.14,5.89,18.45,12.85,7.54
PRECTOTCORR,2010,6.5,78.75,1.44,2.48,2.28,7.79,9.63,7.33,4.02,4.07,5.85,6.6,11.74,8.26,5.96
PRECTOTCORR,2010,6.5,79.375,2.15,2.59,2.77,8.95,11.71,7.81,4.54,4.64,6.1,6.81,14.32,9.99,6.87
PRECTOTCORR,2010,6.5,80.0,3.54,2.39,3.57,10.82,16.08,8.06,6.08,5.28,7.34,7.41,17.34,12.43,8.36
PRECTOTCORR,2010,6.5,80.625,3.41,1.84,3.98,9.02,11.23,5.69,4.59,4.01,5.25,5.94,16.21,11.74,6.91
PRECTOTCORR,2010,6.5,81.25,4.76,1.91,3.8,10.82,10.66,5.35,3.59,4.38,6.08,5.96,18.96,15.18,7.62
PRECTOTCORR,2010,6.5,81.875,4.23,1.79,4.1,10.41,8.75,4.65,3.44,4.09,5.35,5.57,18.08,13.13,6.97
PRECTOTCORR,2010,7.0,78.75,1.03,1.5,2.09,7.29,8.78,7.0,3.53,3.19,4.89,6.59,12.72,8.17,5.57
PRECTOTCORR,2010,7.0,79.375,1.62,1.58,2.43,8.54,10.52,7.53,3.91,3.95,5.39,6.6,15.2,9.25,6.38
PRECTOTCORR,2010,7.0,80.0,2.99,1.49,3.26,10.72,13.79,7.83,5.53,4.77,6.89,7.66,17.24,11.27,7.79
PRECTOTCORR,2010,7.0,80.625,3.55,1.75,3.82,9.26,9.07,5.61,4.69,4.17,5.39,6.62,16.74,12.64,6.94
PRECTOTCORR,2010,7.0,81.25,4.26,1.83,3.17,8.42,6.42,3.5,2.26,2.93,4.53,4.98,17.04,16.32,6.3
PRECTOTCORR,2010,7.0,81.875,4.15,2.17,3.72,8.73,5.97,3.59,2.62,3.41,4.58,5.24,17.61,15.44,6.44
PRECTOTCORR,2010,7.5,78.75,1.12,0.46,1.32,4.83,5.23,4.31,2.26,1.74,3.63,6.02,13.46,6.66,4.25
PRECTOTCORR,2010,7.5,79.375,1.31,0.48,1.63,5.86,6.01,4.37,2.47,2.45,4.33,5.6,14.92,7.43,4.74
PRECTOTCORR,2010,7.5,80.0,2.21,0.61,2.56,8.44,7.67,4.6,3.82,3.7,6.42,6.6,15.92,9.99,6.04
PRECTOTCORR,2010,7.5,80.625,3.23,1.61,2.83,7.87,5.7,3.78,3.88,4.28,5.74,6.31,16.69,14.37,6.36
PRECTOTCORR,2010,7.5,81.25,3.52,1.58,2.5,7.3,4.43,2.17,1.96,2.79,4.96,4.82,16.38,17.97,5.87
PRECTOTCORR,2010,7.5,81.875,3.7,2.26,2.55,6.87,3.93,2.43,2.29,3.55,4.83,5.12,17.3,18.53,6.11
PRECTOTCORR,2010,8.0,78.75,1.51,0.02,0.54,1.96,1.45,1.12,0.86,0.61,2.61,5.25,13.46,4.92,2.86
PRECTOTCORR,2010,8.0,79.375,1.4,0.07,0.89,3.29,2.1,1.25,1.19,1.35,3.99,5.31,13.62,6.27,3.39
PRECTOTCORR,2010,8.0,80.0,1.59,0.32,1.55,6.01,3.35,1.4,2.03,3.06,7.04,5.42,13.42,9.81,4.58
PRECTOTCORR,2010,8.0,80.625,2.29,0.84,1.69,6.5,3.62,1.52,2.54,4.09,7.12,5.42,14.05,13.01,5.22
PRECTOTCORR,2010,8.0,81.25,2.82,1.67,1.33,5.08,3.19,1.64,2.38,4.27,6.14,4.83,15.39,19.07,5.65
PRECTOTCORR,2010,8.0,81.875,3.0,0.73,2.01,8.42,3.8,1.31,1.96,2.85,7.82,6.0,16.9,19.84,6.22
PRECTOTCORR,2010,8.5,78.75,1.32,0.01,0.45,1.75,1.25,0.78,0.7,0.48,2.31,4.79,13.84,4.6,2.69
PRECTOTCORR,2010,8.5,79.375,1.26,0.04,0.58,2.47,1.67,0.72,0.77,1.11,3.49,5.02,13.3,6.33,3.06
PRECTOTCORR,2010,8.5,80.0,1.5,0.19,0.83,4.08,2.18,0.46,0.98,2.37,5.85,4.38,12.31,10.18,3.78
PRECTOTCORR,2010,8.5,80.625,2.11,0.39,1.01,4.79,2.44,0.56,1.36,3.31,7.09,3.96,12.44,13.84,4.44
PRECTOTCORR,2010,8.5,81.25,2.26,0.57,0.78,4.11,2.51,1.04,1.84,3.88,7.28,3.63,12.76,19.38,5.0
PRECTOTCORR,2010,8.5,81.875,2.7,0.28,1.77,7.64,3.77,1.68,2.34,4.31,8.52,5.73,16.06,21.58,6.37
PRECTOTCORR,2010,9.0,78.75,0.77,0.0,0.26,1.01,1.24,0.88,1.16,1.54,3.67,5.23,13.76,4.4,2.83
PRECTOTCORR,2010,9.0,79.375,0.93,0.02,0.22,1.39,1.33,0.42,0.82,2.05,4.28,5.51,14.53,7.27,3.23
PRECTOTCORR,2010,9.0,80.0,1.49,0.06,0.45,2.48,1.8,0.29,0.59,2.33,5.03,4.35,13.47,10.86,3.6
