-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2010,10.0,78.75,10.49,0.03,2.59,22.4,66.56,56.15,44.48,74.24,141.73,158.41,408.55,128.57,1114.2
PRECTOTCORR_SUM,2010,10.0,79.375,22.88,1.37,2.97,40.18,68.31,54.64,36.8,114.95,157.11,161.88,448.54,226.72,1336.35
PRECTOTCORR_SUM,2010,10.0,80.0,39.08,4.75,12.21,74.93,89.45,71.61,52.49,136.07,148.95,157.02,443.29,328.13,1557.98
PRECTOTCORR_SUM,2010,10.0,80.625,51.84,5.07,24.14,101.39,106.75,98.57,98.76,163.51,179.95,157.09,431.22,412.44,1830.73
PRECTOTCORR_SUM,2010,10.0,81.25,56.89,4.1,33.26,133.05,119.87,135.2,164.8,206.52,225.14,174.28,428.54,456.46,2138.11
PRECTOTCORR_SUM,2010,10.0,81.875,56.97,4.14,33.49,141.66,120.75,142.14,176.74,219.82,222.99,178.94,423.22,459.91,2180.77
PRECTOTCORR_SUM,2010,6.0,78.75,66.07,87.58,72.73,230.26,306.86,218.59,139.5,147.69,191.9,192.45,338.99,250.04,2242.66
PRECTOTCORR_SUM,2010,6.0,79.375,83.69,92.22,92.18,261.69,351.23,225.64,152.71,156.05,196.32,197.27,399.25,312.61,2520.86
PRECTOTCORR_SUM,2010,6.0,80.0,116.52,84.41,114.44,307.36,462.37,216.14,183.05,166.22,220.13,197.29,499.98,398.31,2966.22
PRECTOTCORR_SUM,2010,6.0,80.625,105.72,57.75,116.95,262.38,368.31,156.63,136.65,127.27,161.0,158.41,484.75,372.31,2508.13
PRECTOTCORR_SUM,2010,6.0,81.25,179.55,62.15,122.72,429.17,427.18,198.36,177.35,201.22,256.19,213.45,641.3,483.26,3391.9
PRECTOTCORR_SUM,2010,6.0,81.875,141.81,45.69,117.72,355.6,323.56,155.97,137.34,160.5,184.2,182.5,553.59,398.37,2756.85
PRECTOTCORR_SUM,2010,6.5,78.75,44.5,69.39,70.79,233.55,298.52,219.86,124.55,126.16,175.61,204.69,352.07,256.19,2175.88
PRECTOTCORR_SUM,2010,6.5,79.375,66.57,72.49,85.83,268.63,363.11,234.18,140.73,143.84,182.98,211.22,429.45,309.74,2508.77
PRECTOTCORR_SUM,2010,6.5,80.0,109.88,66.83,110.72,324.73,498.58,241.72,188.61,163.62,220.09,229.72,520.25,385.43,3060.18
PRECTOTCORR_SUM,2010,6.5,80.625,105.78,51.46,123.36,270.59,348.04,170.77,142.41,124.33,157.46,184.17,486.25,364.02,2528.64
PRECTOTCORR_SUM,2010,6.5,81.25,147.59,53.51,117.71,324.51,330.49,160.48,111.21,135.65,182.45,184.79,568.92,470.64,2787.95
PRECTOTCORR_SUM,2010,6.5,81.875,131.26,50.15,127.03,312.29,271.28,139.55,106.79,126.85,160.39,172.76,542.3,407.07,2547.72
PRECTOTCORR_SUM,2010,7.0,78.75,31.82,42.11,64.8,218.63,272.13,210.04,109.3,98.92,146.71,204.16,381.63,253.21,2033.46
PRECTOTCORR_SUM,2010,7.0,79.375,50.1,44.28,75.34,256.22,326.23,225.93,121.13,122.49,161.74,204.56,456.02,286.82,2330.86
PRECTOTCORR_SUM,2010,7.0,80.0,92.71,41.84,100.96,321.52,427.43,234.93,171.33,147.78,206.68,237.41,517.32,349.34,2849.25
PRECTOTCORR_SUM,2010,7.0,80.625,110.12,48.97,118.43,277.75,281.11,168.31,145.31,129.15,161.72,205.36,502.24,391.76,2540.23
PRECTOTCORR_SUM,2010,7.0,81.25,132.04,51.22,98.39,252.48,198.93,104.99,70.2,90.68,135.95,154.32,511.1,505.81,2306.11
PRECTOTCORR_SUM,2010,7.0,81.875,128.76,60.84,115.3,261.96,185.19,107.61,81.2,105.75,137.53,162.43,528.31,478.58,2353.46
PRECTOTCORR_SUM,2010,7.5,78.75,34.63,12.89,41.01,144.84,162.18,129.17,70.14,53.98,108.76,186.62,403.71,206.49,1554.42
PRECTOTCORR_SUM,2010,7.5,79.375,40.58,13.53,50.5,175.88,186.38,131.16,76.66,76.07,130.04,173.6,447.54,230.24,1732.18
