-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS     MERRA-2 Surface Pressure (kPa) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2010,10.0,78.75,100.47,100.36,100.21,100.02,99.7,99.79,99.79,99.74,99.86,99.86,100.04,100.02,99.99
PS,2010,10.0,79.375,101.21,101.11,100.97,100.77,100.44,100.54,100.53,100.48,100.6,100.6,100.76,100.73,100.73
PS,2010,10.0,80.0,101.33,101.24,101.11,100.91,100.58,100.67,100.66,100.61,100.73,100.73,100.88,100.84,100.86
PS,2010,10.0,80.625,101.33,101.25,101.12,100.93,100.6,100.68,100.67,100.62,100.74,100.73,100.88,100.83,100.87
PS,2010,10.0,81.25,101.33,101.25,101.14,100.94,100.61,100.69,100.68,100.63,100.75,100.74,100.89,100.82,100.87
PS,2010,10.0,81.875,101.32,101.25,101.15,100.96,100.62,100.69,100.68,100.63,100.76,100.74,100.88,100.81,100.87
PS,2010,6.0,78.75,101.21,101.14,101.11,100.99,100.79,100.93,100.9,100.89,100.91,100.91,100.92,100.85,100.96
PS,2010,6.0,79.375,101.21,101.13,101.11,101.0,100.79,100.93,100.9,100.88,100.91,100.91,100.91,100.84,100.96
PS,2010,6.0,80.0,100.9,100.83,100.81,100.7,100.5,100.64,100.6,100.58,100.61,100.61,100.61,100.53,100.66
PS,2010,6.0,80.625,100.5,100.43,100.41,100.31,100.1,100.24,100.19,100.17,100.21,100.2,100.21,100.12,100.26
PS,2010,6.0,81.25,100.9,100.84,100.81,100.69,100.47,100.6,100.55,100.53,100.57,100.56,100.59,100.51,100.64
PS,2010,6.0,81.875,101.18,101.12,101.09,100.97,100.74,100.87,100.83,100.8,100.84,100.83,100.87,100.78,100.91
PS,2010,6.5,78.75,101.22,101.15,101.11,100.99,100.78,100.92,100.89,100.87,100.9,100.9,100.92,100.85,100.96
PS,2010,6.5,79.375,101.21,101.13,101.09,100.98,100.78,100.91,100.88,100.86,100.89,100.89,100.9,100.83,100.95
PS,2010,6.5,80.0,100.2,100.13,100.11,100.01,99.81,99.94,99.91,99.88,99.92,99.91,99.91,99.83,99.96
PS,2010,6.5,80.625,97.63,97.58,97.57,97.49,97.28,97.39,97.35,97.32,97.36,97.35,97.36,97.26,97.41
PS,2010,6.5,81.25,99.3,99.25,99.21,99.1,98.86,98.97,98.92,98.88,98.94,98.93,98.98,98.9,99.02
PS,2010,6.5,81.875,101.06,101.0,100.96,100.83,100.6,100.72,100.68,100.64,100.69,100.68,100.73,100.65,100.77
PS,2010,7.0,78.75,101.24,101.16,101.11,100.99,100.77,100.9,100.88,100.85,100.89,100.89,100.92,100.85,100.95
PS,2010,7.0,79.375,101.21,101.12,101.07,100.96,100.75,100.88,100.86,100.83,100.87,100.86,100.88,100.81,100.92
PS,2010,7.0,80.0,99.79,99.71,99.68,99.58,99.39,99.52,99.5,99.47,99.5,99.5,99.49,99.42,99.55
PS,2010,7.0,80.625,93.72,93.67,93.65,93.56,93.37,93.48,93.45,93.42,93.44,93.43,93.42,93.35,93.5
