-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DIFF,2010,6.5,79.5,6.72,7.74,8.31,7.89,7.75,9.21,9.16,9.47,8.78,8.53,8.22,7.49,8.27
ALLSKY_SFC_SW_DIFF,2010,6.5,80.5,9.07,9.37,9.91,9.21,9.11,10.26,9.85,10.01,9.26,9.62,8.57,8.05,9.36
ALLSKY_SFC_SW_DIFF,2010,6.5,81.5,8.21,8.82,9.44,8.49,9.0,9.85,9.7,9.64,8.98,8.64,8.88,8.15,8.98
ALLSKY_SFC_SW_DIFF,2010,7.5,79.5,7.24,7.7,8.16,8.43,8.77,9.41,9.63,9.54,9.34,8.8,8.19,7.54,8.56
ALLSKY_SFC_SW_DIFF,2010,7.5,80.5,9.29,9.38,9.87,9.46,10.02,10.16,10.24,10.24,10.0,9.13,8.31,7.58,9.47
ALLSKY_SFC_SW_DIFF,2010,7.5,81.5,8.1,8.8,9.79,8.45,9.08,9.75,9.92,9.68,9.42,8.48,8.35,7.16,8.92
ALLSKY_SFC_SW_DIFF,2010,8.5,79.5,7.64,7.8,8.02,8.61,9.49,9.44,9.58,9.33,8.79,8.55,7.91,7.03,8.52
ALLSKY_SFC_SW_DIFF,2010,8.5,80.5,9.44,9.95,10.19,9.44,10.46,10.55,10.52,10.29,10.19,9.79,8.52,6.83,9.68
ALLSKY_SFC_SW_DIFF,2010,8.5,81.5,7.69,8.59,8.74,8.09,9.09,9.67,9.53,9.56,9.31,8.53,7.62,6.2,8.55
ALLSKY_SFC_SW_DIFF,2010,9.5,79.5,7.38,8.03,8.29,8.61,9.68,9.46,9.67,9.2,9.19,8.63,7.26,6.98,8.53
ALLSKY_SFC_SW_DIFF,2010,9.5,80.5,8.16,8.84,8.85,8.25,9.6,9.62,9.8,9.5,9.33,8.84,7.55,6.58,8.74
ALLSKY_SFC_SW_DIFF,2010,9.5,81.5,7.33,8.32,7.83,8.1,8.77,9.3,9.35,9.35,9.13,8.34,7.75,6.31,8.32
ALLSKY_SFC_SW_DIFF,2011,6.5,79.5,7.19,8.57,8.34,8.95,8.6,9.12,9.74,9.11,9.27,8.19,8.17,8.24,8.63
ALLSKY_SFC_SW_DIFF,2011,6.5,80.5,8.11,9.29,9.89,9.62,10.12,10.36,10.61,10.0,9.71,9.32,8.79,8.56,9.53
ALLSKY_SFC_SW_DIFF,2011,6.5,81.5,7.65,8.62,9.05,9.57,9.2,9.38,10.25,8.96,8.96,8.84,8.49,7.87,8.9
ALLSKY_SFC_SW_DIFF,2011,7.5,79.5,7.35,8.43,8.46,8.89,8.68,9.18,9.77,8.95,9.25,8.29,8.11,8.2,8.63
ALLSKY_SFC_SW_DIFF,2011,7.5,80.5,7.49,9.24,10.35,9.22,10.08,10.05,10.85,10.22,9.8,9.02,8.56,8.72,9.47
ALLSKY_SFC_SW_DIFF,2011,7.5,81.5,7.02,8.44,9.49,9.29,9.19,9.56,10.29,8.94,9.01,8.5,8.33,7.93,8.83
ALLSKY_SFC_SW_DIFF,2011,8.5,79.5,7.53,8.33,8.12,8.74,8.87,9.18,9.76,8.86,8.67,8.76,7.92,7.91,8.55
ALLSKY_SFC_SW_DIFF,2011,8.5,80.5,8.09,8.99,10.13,9.58,10.01,10.37,10.81,10.62,10.46,9.24,8.38,8.47,9.6
ALLSKY_SFC_SW_DIFF,2011,8.5,81.5,6.86,7.55,8.37,9.01,8.79,9.37,9.88,8.84,8.76,8.46,8.0,7.61,8.46
ALLSKY_SFC_SW_DIFF,2011,9.5,79.5,7.73,8.45,8.27,9.0,9.27,9.34,9.84,9.24,9.08,8.73,7.89,7.64,8.71
ALLSKY_SFC_SW_DIFF,2011,9.5,80.5,7.71,8.4,8.71,8.79,9.42,9.75,10.1,9.35,9.22,8.47,7.85,7.51,8.77
ALLSKY_SFC_SW_DIFF,2011,9.5,81.5,7.13,7.62,7.92,8.99,8.43,9.47,9.98,9.16,8.6,8.41,7.88,6.92,8.38
ALLSKY_SFC_SW_DIFF,2012,6.5,79.5,7.05,8.89,8.66,8.62,9.23,10.24,8.91,9.53,8.99,7.69,8.38,7.79,8.67
ALLSKY_SFC_SW_DIFF,2012,6.5,80.5,9.47,10.01,10.22,9.45,10.23,10.86,10.29,10.67,9.59,8.77,8.75,8.49,9.73
ALLSKY_SFC_SW_DIFF,2012,6.5,81.5,8.45,9.59,9.49,9.09,9.64,10.4,9.3,9.66,9.4,8.52,8.33,7.75,9.14
ALLSKY_SFC_SW_DIFF,2012,7.5,79.5,7.21,8.61,8.7,8.85,9.79,10.14,8.87,9.21,9.55,7.71,8.42,7.37,8.7
ALLSKY_SFC_SW_DIFF,2012,7.5,80.5,10.18,10.18,10.15,9.52,10.48,10.96,10.23,11.06,10.34,7.99,8.51,7.85,9.79
ALLSKY_SFC_SW_DIFF,2012,7.5,81.5,8.83,9.23,9.64,9.1,9.71,10.36,9.44,9.65,9.52,8.25,8.27,7.39,9.12
ALLSKY_SFC_SW_DIFF,2012,8.5,79.5,7.1,8.51,8.58,8.94,10.26,9.9,9.01,9.19,9.26,7.36,8.17,6.78,8.59
ALLSKY_SFC_SW_DIFF,2012,8.5,80.5,9.75,10.38,10.51,9.82,10.81,11.15,10.42,10.86,10.55,8.29,8.19,7.47,9.85
ALLSKY_SFC_SW_DIFF,2012,8.5,81.5,7.76,8.79,8.84,8.84,9.97,10.03,9.39,9.23,9.36,7.68,7.56,6.98,8.7
ALLSKY_SFC_SW_DIFF,2012,9.5,79.5,6.87,8.53,8.67,9.4,10.33,9.75,9.01,9.6,9.33,7.48,8.14,7.42,8.71
ALLSKY_SFC_SW_DIFF,2012,9.5,80.5,7.97,9.1,8.94,8.75,10.41,10.12,9.39,9.69,9.41,7.63,8.09,7.51,8.92
ALLSKY_SFC_SW_DIFF,2012,9.5,81.5,6.6,8.85,8.17,8.4,9.86,9.99,9.04,9.32,8.81,7.12,7.68,7.71,8.46
ALLSKY_SFC_SW_DIFF,2013,6.5,79.5,6.91,7.68,8.42,8.79,8.51,9.42,9.28,9.13,8.85,8.59,8.25,8.66,8.54
ALLSKY_SFC_SW_DIFF,2013,6.5,80.5,8.69,9.63,9.5,9.95,9.36,9.74,9.94,10.49,9.55,9.39,8.89,8.98,9.51
ALLSKY_SFC_SW_DIFF,2013,6.5,81.5,7.76,8.65,9.17,9.25,9.16,9.8,9.78,9.64,9.55,8.89,8.66,8.02,9.03
ALLSKY_SFC_SW_DIFF,2013,7.5,79.5,7.22,7.82,8.34,9.17,9.11,9.82,9.66,9.07,8.99,8.29,8.03,8.66,8.68
ALLSKY_SFC_SW_DIFF,2013,7.5,80.5,8.65,9.97,10.01,10.57,9.76,10.11,10.42,10.48,9.65,8.53,8.84,9.05,9.67
ALLSKY_SFC_SW_DIFF,2013,7.5,81.5,7.66,9.03,9.38,9.35,9.1,10.22,9.8,9.57,9.6,8.24,8.83,7.46,9.02
ALLSKY_SFC_SW_DIFF,2013,8.5,79.5,7.52,8.09,8.26,9.07,9.71,10.29,10.11,9.2,9.07,8.26,8.04,7.98,8.8
ALLSKY_SFC_SW_DIFF,2013,8.5,80.5,8.72,9.36,10.01,10.27,10.42,11.16,11.02,10.54,10.59,9.5,9.17,8.6,9.95
ALLSKY_SFC_SW_DIFF,2013,8.5,81.5,7.51,8.0,8.71,8.9,9.21,10.25,9.97,9.22,9.54,8.51,7.93,7.42,8.76
