-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TOA_SW_DWN     CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TOA_SW_DWN,2010,6.5,79.5,33.53,35.63,37.27,37.47,36.54,35.74,35.94,36.75,36.99,35.89,33.92,32.69,35.7
TOA_SW_DWN,2010,6.5,80.5,33.53,35.63,37.27,37.47,36.54,35.74,35.94,36.75,36.99,35.89,33.92,32.69,35.7
TOA_SW_DWN,2010,6.5,81.5,33.53,35.63,37.27,37.47,36.54,35.74,35.94,36.75,36.99,35.89,33.92,32.69,35.7
TOA_SW_DWN,2010,7.5,79.5,33.09,35.33,37.16,37.57,36.79,36.06,36.23,36.91,36.97,35.66,33.53,32.22,35.63
TOA_SW_DWN,2010,7.5,80.5,33.09,35.33,37.16,37.57,36.79,36.06,36.23,36.91,36.97,35.66,33.53,32.22,35.63
TOA_SW_DWN,2010,7.5,81.5,33.09,35.33,37.16,37.57,36.79,36.06,36.23,36.91,36.97,35.66,33.53,32.22,35.63
TOA_SW_DWN,2010,8.5,79.5,32.65,35.01,37.04,37.65,37.04,36.38,36.51,37.07,36.93,35.42,33.12,31.74,35.55
TOA_SW_DWN,2010,8.5,80.5,32.65,35.01,37.04,37.65,37.04,36.38,36.51,37.07,36.93,35.42,33.12,31.74,35.55
TOA_SW_DWN,2010,8.5,81.5,32.65,35.01,37.04,37.65,37.04,36.38,36.51,37.07,36.93,35.42,33.12,31.74,35.55
TOA_SW_DWN,2010,9.5,79.5,32.19,34.69,36.9,37.73,37.28,36.69,36.79,37.21,36.87,35.16,32.71,31.25,35.46
TOA_SW_DWN,2010,9.5,80.5,32.19,34.69,36.9,37.73,37.28,36.69,36.79,37.21,36.87,35.16,32.71,31.25,35.46
TOA_SW_DWN,2010,9.5,81.5,32.19,34.69,36.9,37.73,37.28,36.69,36.79,37.21,36.87,35.16,32.71,31.25,35.46
