-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLOUD_AMT     CERES SYN1deg Cloud Amount (%) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
CLOUD_AMT,2010,6.5,79.5,42.49,49.82,48.97,68.93,76.14,77.5,81.12,76.65,74.66,63.59,81.39,77.22,68.21
CLOUD_AMT,2010,6.5,80.5,64.16,64.67,65.41,77.93,83.36,84.23,85.46,87.83,85.04,74.4,86.69,85.78,78.75
CLOUD_AMT,2010,6.5,81.5,56.76,54.35,54.6,62.69,71.6,73.93,74.72,77.43,73.96,62.94,80.68,81.53,68.77
CLOUD_AMT,2010,7.5,79.5,44.24,46.91,43.73,68.81,76.64,77.69,79.87,78.85,75.27,68.97,81.95,79.51,68.54
CLOUD_AMT,2010,7.5,80.5,61.29,60.6,59.63,77.26,80.63,84.95,85.21,87.8,84.3,74.4,83.5,87.34,77.24
CLOUD_AMT,2010,7.5,81.5,59.33,61.67,54.1,62.99,69.48,76.01,76.29,79.31,75.09,64.29,79.29,84.0,70.15
CLOUD_AMT,2010,8.5,79.5,43.23,43.56,36.61,63.79,72.8,69.33,77.99,78.85,76.61,68.36,80.1,79.54,65.9
CLOUD_AMT,2010,8.5,80.5,57.14,60.89,54.96,73.79,76.61,77.4,82.03,84.57,85.61,75.82,82.5,85.17,74.71
CLOUD_AMT,2010,8.5,81.5,49.08,52.58,39.8,57.16,66.67,71.96,75.24,80.44,80.05,68.0,77.72,81.72,66.7
CLOUD_AMT,2010,9.5,79.5,35.2,36.93,33.42,56.41,66.23,65.74,75.72,75.16,78.14,65.98,75.89,75.46,61.69
CLOUD_AMT,2010,9.5,80.5,44.97,47.35,39.24,61.75,67.58,69.4,76.69,79.36,81.2,70.33,79.53,81.38,66.57
CLOUD_AMT,2010,9.5,81.5,41.52,47.15,32.63,52.8,64.31,71.04,74.35,81.42,81.96,68.68,77.91,79.34,64.43
CLOUD_AMT,2011,6.5,79.5,64.8,71.35,57.55,67.91,56.7,61.74,81.28,70.12,66.07,67.67,75.46,68.42,67.42
CLOUD_AMT,2011,6.5,80.5,76.69,82.86,70.86,77.96,71.14,75.45,91.07,83.28,75.97,77.35,85.47,80.15,79.02
CLOUD_AMT,2011,6.5,81.5,74.31,77.68,62.46,65.81,54.02,60.36,82.98,67.94,61.12,67.18,77.85,75.99,68.97
CLOUD_AMT,2011,7.5,79.5,67.59,70.04,49.64,67.19,56.01,61.1,77.3,70.4,66.0,73.65,72.35,68.75,66.67
CLOUD_AMT,2011,7.5,80.5,79.27,80.91,62.78,73.68,67.76,75.26,90.14,84.96,73.86,79.15,76.19,78.12,76.84
CLOUD_AMT,2011,7.5,81.5,80.57,79.59,57.72,66.13,57.97,63.66,80.98,71.5,62.06,70.56,74.7,79.43,70.41
CLOUD_AMT,2011,8.5,79.5,69.57,65.86,36.89,61.61,47.13,59.82,75.21,66.56,55.33,75.56,71.62,69.8,62.91
CLOUD_AMT,2011,8.5,80.5,79.28,77.17,52.51,69.65,58.21,72.55,83.84,77.61,67.15,80.74,73.8,76.67,72.43
