-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface Total PAR (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_PAR_TOT,2010,6.5,79.5,9.68,10.3,10.75,10.01,8.29,9.23,8.87,9.38,9.46,9.94,8.13,7.47,9.29
ALLSKY_SFC_PAR_TOT,2010,6.5,80.5,8.52,9.43,9.76,9.05,7.75,8.22,7.9,7.78,7.75,8.54,7.29,6.53,8.21
ALLSKY_SFC_PAR_TOT,2010,6.5,81.5,8.4,9.62,10.36,10.2,9.33,9.47,9.49,9.65,9.19,9.65,7.84,7.03,9.19
ALLSKY_SFC_PAR_TOT,2010,7.5,79.5,9.36,10.16,10.91,10.33,9.15,9.67,9.84,9.61,9.88,9.81,7.98,7.05,9.48
ALLSKY_SFC_PAR_TOT,2010,7.5,80.5,8.23,9.46,9.95,9.61,8.95,8.45,8.41,7.95,8.25,8.44,7.18,5.85,8.39
ALLSKY_SFC_PAR_TOT,2010,7.5,81.5,7.69,8.91,10.15,10.06,10.15,9.49,9.46,9.47,9.34,9.45,7.45,5.87,8.96
ALLSKY_SFC_PAR_TOT,2010,8.5,79.5,8.94,10.02,11.02,10.68,9.98,10.02,10.01,9.63,9.91,9.75,7.43,6.28,9.47
ALLSKY_SFC_PAR_TOT,2010,8.5,80.5,8.26,9.22,10.0,10.04,9.46,9.34,9.45,8.59,8.77,8.68,6.92,5.36,8.67
ALLSKY_SFC_PAR_TOT,2010,8.5,81.5,8.22,9.13,10.48,10.79,10.04,9.64,9.73,9.09,9.22,9.1,7.19,5.45,9.01
ALLSKY_SFC_PAR_TOT,2010,9.5,79.5,8.86,9.97,10.99,11.02,10.18,9.99,9.76,9.53,9.56,9.41,7.02,6.28,9.38
ALLSKY_SFC_PAR_TOT,2010,9.5,80.5,8.53,9.5,10.57,10.51,9.73,9.61,9.74,9.08,9.05,8.98,6.83,5.64,8.98
ALLSKY_SFC_PAR_TOT,2010,9.5,81.5,8.92,9.94,11.1,11.24,10.22,9.97,10.2,9.23,9.37,9.47,7.38,5.81,9.4
ALLSKY_SFC_PAR_TOT,2011,6.5,79.5,8.24,9.27,10.66,9.82,10.04,9.9,9.15,9.91,10.26,10.26,8.59,8.34,9.54
ALLSKY_SFC_PAR_TOT,2011,6.5,80.5,7.0,7.88,9.19,8.79,9.11,8.77,7.84,8.26,8.82,8.58,7.54,7.13,8.24
ALLSKY_SFC_PAR_TOT,2011,6.5,81.5,7.1,7.89,9.71,9.91,10.42,10.03,9.06,9.7,10.25,9.2,7.73,6.97,9.0
ALLSKY_SFC_PAR_TOT,2011,7.5,79.5,7.65,8.91,10.85,9.67,10.32,10.25,10.02,10.19,10.62,10.15,8.26,8.03,9.58
ALLSKY_SFC_PAR_TOT,2011,7.5,80.5,6.01,7.85,9.8,9.09,9.62,8.86,8.19,8.46,9.16,8.78,7.51,6.94,8.36
ALLSKY_SFC_PAR_TOT,2011,7.5,81.5,5.66,7.33,9.59,10.15,10.41,10.11,9.38,9.7,10.07,9.08,7.45,6.55,8.79
ALLSKY_SFC_PAR_TOT,2011,8.5,79.5,7.38,8.68,11.0,9.77,10.72,10.42,10.11,10.44,10.91,9.29,7.38,7.52,9.47
