-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLRSKY_SFC_PAR_TOT     CERES SYN1deg Clear Sky Surface Total PAR (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
CLRSKY_SFC_PAR_TOT,2010,6.5,79.5,10.56,11.31,11.72,12.12,11.65,11.33,11.48,11.79,11.95,11.58,10.67,10.39,11.38
CLRSKY_SFC_PAR_TOT,2010,6.5,80.5,10.55,11.36,11.85,12.23,11.77,11.43,11.6,11.82,11.92,11.64,10.84,10.5,11.46
CLRSKY_SFC_PAR_TOT,2010,6.5,81.5,10.51,11.32,11.81,12.17,11.7,11.36,11.53,11.75,11.86,11.58,10.77,10.44,11.4
CLRSKY_SFC_PAR_TOT,2010,7.5,79.5,10.34,11.14,11.67,12.11,11.71,11.44,11.57,11.82,11.92,11.47,10.52,10.19,11.32
CLRSKY_SFC_PAR_TOT,2010,7.5,80.5,10.39,11.24,11.8,12.25,11.86,11.55,11.71,11.88,11.92,11.57,10.69,10.33,11.43
CLRSKY_SFC_PAR_TOT,2010,7.5,81.5,10.39,11.23,11.76,12.19,11.8,11.48,11.65,11.83,11.87,11.52,10.64,10.29,11.39
CLRSKY_SFC_PAR_TOT,2010,8.5,79.5,9.97,10.89,11.49,11.81,11.4,11.37,11.5,11.69,11.63,11.14,10.27,9.8,11.08
CLRSKY_SFC_PAR_TOT,2010,8.5,80.5,10.15,10.92,11.5,12.09,11.6,11.4,11.6,11.7,11.68,11.27,10.47,9.98,11.2
CLRSKY_SFC_PAR_TOT,2010,8.5,81.5,10.13,10.88,11.44,12.03,11.54,11.32,11.53,11.65,11.62,11.17,10.43,9.94,11.14
CLRSKY_SFC_PAR_TOT,2010,9.5,79.5,9.83,10.76,11.43,11.83,11.46,11.47,11.59,11.75,11.6,11.03,10.11,9.61,11.04
CLRSKY_SFC_PAR_TOT,2010,9.5,80.5,9.94,10.74,11.39,12.05,11.61,11.43,11.64,11.7,11.58,11.12,10.28,9.76,11.11
CLRSKY_SFC_PAR_TOT,2010,9.5,81.5,10.02,10.84,11.46,12.1,11.69,11.52,11.7,11.77,11.66,11.2,10.35,9.83,11.18
CLRSKY_SFC_PAR_TOT,2011,6.5,79.5,10.48,11.22,11.76,11.86,11.52,11.18,11.13,11.73,11.86,11.7,10.78,10.11,11.28
CLRSKY_SFC_PAR_TOT,2011,6.5,80.5,10.71,11.35,11.89,11.96,11.65,11.28,11.15,11.79,11.87,11.62,10.79,10.12,11.35
