-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2010 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2010,6.5,79.5,20.69,22.01,23.03,20.84,16.98,19.08,18.29,19.41,19.64,20.9,16.86,15.51,19.44
ALLSKY_SFC_SW_DWN,2010,6.5,80.5,18.4,20.46,21.21,19.19,16.26,17.37,16.66,16.45,16.4,18.24,15.39,13.79,17.48
ALLSKY_SFC_SW_DWN,2010,6.5,81.5,17.84,20.56,22.28,21.42,19.43,19.79,19.88,20.24,19.28,20.41,16.28,14.59,19.33
ALLSKY_SFC_SW_DWN,2010,7.5,79.5,20.06,21.86,23.55,21.65,18.95,20.12,20.5,19.99,20.62,20.62,16.57,14.57,19.92
ALLSKY_SFC_SW_DWN,2010,7.5,80.5,17.77,20.56,21.7,20.41,18.98,17.88,17.79,16.77,17.51,17.98,15.11,12.24,17.89
ALLSKY_SFC_SW_DWN,2010,7.5,81.5,16.32,19.04,21.87,21.19,21.37,19.94,19.88,19.99,19.76,20.04,15.51,12.05,18.91
ALLSKY_SFC_SW_DWN,2010,8.5,79.5,19.25,21.69,23.98,22.61,20.96,20.94,20.93,20.07,20.79,20.54,15.37,12.97,20.01
ALLSKY_SFC_SW_DWN,2010,8.5,80.5,17.74,20.01,21.81,21.33,19.99,19.67,19.89,18.02,18.5,18.33,14.42,11.08,18.4
ALLSKY_SFC_SW_DWN,2010,8.5,81.5,17.44,19.57,22.73,22.82,21.07,20.12,20.27,18.86,19.22,19.06,14.8,11.1,18.92
ALLSKY_SFC_SW_DWN,2010,9.5,79.5,19.1,21.66,24.0,23.46,21.43,20.86,20.31,19.86,19.97,19.73,14.49,12.99,19.82
ALLSKY_SFC_SW_DWN,2010,9.5,80.5,18.28,20.6,23.09,22.32,20.42,20.08,20.32,18.92,18.91,18.77,14.08,11.56,18.95
ALLSKY_SFC_SW_DWN,2010,9.5,81.5,19.05,21.43,24.16,23.82,21.45,20.72,21.19,19.07,19.42,19.73,15.15,11.85,19.75
ALLSKY_SFC_SW_DWN,2011,6.5,79.5,17.32,19.6,22.75,20.64,21.11,20.83,19.07,20.67,21.49,21.51,17.9,17.63,20.04
ALLSKY_SFC_SW_DWN,2011,6.5,80.5,14.92,16.84,19.78,18.8,19.49,18.78,16.68,17.51,18.8,18.22,16.02,15.33,17.6
ALLSKY_SFC_SW_DWN,2011,6.5,81.5,14.9,16.61,20.66,21.01,22.07,21.24,19.09,20.4,21.7,19.31,16.08,14.73,18.98
ALLSKY_SFC_SW_DWN,2011,7.5,79.5,16.07,18.94,23.36,20.43,21.85,21.66,21.11,21.36,22.36,21.3,17.27,17.0,20.22
ALLSKY_SFC_SW_DWN,2011,7.5,80.5,12.7,16.81,21.22,19.46,20.6,18.94,17.51,17.98,19.6,18.73,15.97,14.87,17.87
ALLSKY_SFC_SW_DWN,2011,7.5,81.5,11.69,15.42,20.5,21.69,22.16,21.52,19.92,20.5,21.43,19.12,15.65,13.77,18.61
ALLSKY_SFC_SW_DWN,2011,8.5,79.5,15.55,18.54,23.86,20.78,22.96,22.04,21.31,21.98,23.15,19.58,15.39,15.99,20.09
ALLSKY_SFC_SW_DWN,2011,8.5,80.5,12.85,16.46,21.75,19.91,21.82,20.28,19.64,19.89,20.72,17.23,15.1,14.59,18.35
ALLSKY_SFC_SW_DWN,2011,8.5,81.5,12.57,15.96,22.0,21.71,22.37,21.26,19.69,20.57,21.43,18.55,16.03,14.42,18.88
ALLSKY_SFC_SW_DWN,2011,9.5,79.5,16.39,19.44,23.98,21.33,22.93,21.49,20.91,21.08,22.23,18.0,15.61,14.75,19.84
ALLSKY_SFC_SW_DWN,2011,9.5,80.5,14.11,17.12,22.65,20.51,22.51,21.06,19.84,20.28,21.38,17.12,15.27,13.83,18.81
ALLSKY_SFC_SW_DWN,2011,9.5,81.5,14.42,17.41,23.9,22.46,23.23,21.65,20.22,21.76,22.77,18.91,16.74,14.28,19.81
ALLSKY_SFC_SW_DWN,2012,6.5,79.5,21.83,20.21,23.37,19.1,21.47,19.04,20.97,20.11,18.77,19.6,18.85,17.24,20.05
ALLSKY_SFC_SW_DWN,2012,6.5,80.5,19.55,18.32,21.6,17.87,19.89,17.19,18.36,18.04,17.13,17.61,16.25,15.23,18.09
ALLSKY_SFC_SW_DWN,2012,6.5,81.5,19.52,18.36,22.3,20.34,21.75,19.77,21.26,20.61,20.51,18.94,16.71,14.82,19.58
ALLSKY_SFC_SW_DWN,2012,7.5,79.5,21.28,20.65,23.4,19.91,21.61,20.48,21.61,21.96,21.93,19.89,18.5,16.02,20.6
ALLSKY_SFC_SW_DWN,2012,7.5,80.5,19.25,18.4,22.25,18.87,20.47,18.26,18.73,19.04,19.39,17.86,16.49,13.7,18.56
ALLSKY_SFC_SW_DWN,2012,7.5,81.5,17.73,17.24,22.2,20.47,22.23,20.25,21.03,20.94,20.78,18.23,16.27,13.31,19.22
ALLSKY_SFC_SW_DWN,2012,8.5,79.5,20.88,20.75,23.47,21.16,21.46,20.75,21.72,22.63,22.04,18.15,17.6,14.19,20.4
ALLSKY_SFC_SW_DWN,2012,8.5,80.5,18.87,18.53,22.13,19.78,21.14,19.71,20.4,20.8,19.39,16.8,15.96,12.67,18.85
ALLSKY_SFC_SW_DWN,2012,8.5,81.5,19.57,18.38,22.83,21.17,21.5,20.1,21.04,20.86,20.27,18.32,16.33,14.15,19.54
ALLSKY_SFC_SW_DWN,2012,9.5,79.5,20.51,21.12,23.45,22.07,21.65,21.11,21.92,21.87,21.48,17.13,17.82,15.11,20.44
ALLSKY_SFC_SW_DWN,2012,9.5,80.5,19.53,19.54,22.84,20.59,21.32,20.46,21.19,21.26,20.27,16.86,16.63,14.1,19.55
ALLSKY_SFC_SW_DWN,2012,9.5,81.5,20.88,20.59,23.8,22.4,21.99,21.04,22.04,22.11,21.34,18.68,17.67,16.5,20.75
ALLSKY_SFC_SW_DWN,2013,6.5,79.5,19.34,21.41,22.2,22.55,17.73,17.2,18.61,21.46,19.43,20.16,19.13,17.32,19.71
ALLSKY_SFC_SW_DWN,2013,6.5,80.5,17.08,18.64,19.42,20.55,15.87,15.03,16.49,18.65,17.03,17.84,17.68,15.27,17.46
ALLSKY_SFC_SW_DWN,2013,6.5,81.5,16.38,18.53,20.72,21.67,18.79,18.14,19.49,21.55,20.16,20.45,18.55,13.73,19.01
ALLSKY_SFC_SW_DWN,2013,7.5,79.5,18.67,21.0,22.56,22.99,18.65,17.82,19.69,21.85,20.56,21.9,19.12,16.63,20.12
ALLSKY_SFC_SW_DWN,2013,7.5,80.5,16.14,18.61,20.42,21.18,17.46,15.48,17.0,18.75,17.8,19.17,17.28,14.02,17.78
